Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,19/08/17,Asteras Tripolis,Giannina,1,2,A,0,2,A,1.7,3.4,5.5,1.67,3.4,5.25,1.7,3.45,5,1.75,3.25,4.8,1.79,3.52,5.43,1.73,3.3,4.8,1.7,3.4,5,34,1.81,1.71,3.75,3.36,5.5,4.9,29,2.3,2.24,1.67,1.6,13,-0.5,1.81,1.74,2.2,2.14,1.9,3.47,4.73
G1,19/08/17,Olympiakos,Larisa,4,1,H,1,0,H,1.17,7,15,1.17,7.5,11,1.16,6.75,14.25,,,,,,,1.17,6.5,13,,,,23,1.17,1.15,7.5,6.73,17.5,14.52,17,1.53,1.5,2.5,2.42,2,-2,1.9,1.88,1.91,1.85,1.2,7.52,16.42
G1,19/08/17,Xanthi,Lamia,0,0,D,0,0,D,1.67,3.3,6,1.62,3.5,5.75,1.6,3.4,6,1.61,3.3,6,1.63,3.52,7.81,1.62,3.3,6,1.62,3.3,6.25,32,1.67,1.61,3.52,3.35,7.81,6.16,28,2.85,2.62,1.48,1.44,10,-0.75,1.9,1.85,2.07,1.98,1.76,3.39,6.16
G1,20/08/17,AEK,Panetolikos,2,0,H,1,0,H,1.36,4.5,9,1.33,4.6,8.75,1.3,4.6,11,1.3,4.5,12,1.33,5,13.94,1.36,4.2,8.5,1.29,4.6,11.5,34,1.36,1.3,5,4.53,13.94,10.65,32,2.18,2.09,1.78,1.7,13,-1.25,1.8,1.75,2.17,2.11,1.32,5.28,13.23
G1,20/08/17,Kerkyra,Panionios,0,1,A,0,0,D,3.75,3.1,2.1,3.4,3,2.2,3.65,2.95,2.15,3.6,2.9,2.15,4.1,3.07,2.2,3.6,2.88,2.15,3.6,3,2.15,34,4.1,3.6,3.1,2.94,2.33,2.13,29,2.8,2.64,1.46,1.43,14,0.25,2.11,2.01,1.97,1.83,3.95,2.97,2.3
G1,20/08/17,Levadeiakos,PAOK,0,0,D,0,0,D,6,4,1.53,5.5,4.33,1.5,6,3.95,1.5,6.5,3.9,1.5,8.05,4.22,1.51,6,3.75,1.53,6.25,3.9,1.5,33,8.05,6.22,4.33,3.91,1.53,1.49,32,1.98,1.89,1.95,1.85,14,1,2.01,1.92,1.96,1.88,6.79,4.26,1.56
G1,20/08/17,Platanias,Panathinaikos,1,1,D,0,0,D,4.2,3.1,2,3.9,3.3,1.91,4.05,3.1,1.95,4,3,2,4.63,3.22,2,3.75,3,2.05,4.1,3.1,1.95,35,4.63,3.98,3.3,3.05,2.05,1.98,30,2.7,2.53,1.5,1.48,14,0.5,1.9,1.85,2.07,1.99,4.94,3.35,1.91
G1,21/08/17,Atromitos,Apollon,1,1,D,0,0,D,1.75,3.25,5.25,1.75,3.4,4.75,1.75,3.3,5,1.75,3.2,5,1.81,3.42,5.57,1.73,3.2,5,1.7,3.3,5.25,3,1.81,1.74,3.42,3.24,5.57,5,2,2.51,2.42,1.56,1.52,1,-0.5,1.81,1.75,2.19,2.12,2.09,3.25,4.11
G1,26/08/17,Lamia,Olympiakos,0,1,A,0,1,A,15,7,1.17,16.5,6,1.17,15.75,6,1.18,19,6,1.18,,,,15,6,1.17,15,6.25,1.17,32,19,14.74,7.6,6.27,1.2,1.17,27,1.83,1.72,2.2,2.03,11,2,1.8,1.75,2.2,2.11,23.5,8.05,1.16
G1,26/08/17,Panetolikos,Atromitos,2,2,D,0,1,A,2.4,3,3.2,2.3,3,3.25,2.4,2.95,3.05,2.45,2.9,3,2.52,3.1,3.27,2.45,2.88,3,2.38,3,3.1,34,2.52,2.41,3.15,2.95,3.27,3.03,29,2.63,2.52,1.52,1.48,12,-0.25,2.12,2.07,1.83,1.79,2.23,3.04,4.03
