Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA\r
I1,19/08/17,Juventus,Cagliari,3,0,H,2,0,H,17,5,7,2,13,11,4,1,1,0,0,0,1.14,8,19,1.16,7.5,17,1.15,7,15,1.14,7.5,26,1.16,8.29,24.44,1.14,7.5,21,1.14,8,21,36,1.17,1.15,8.79,7.72,26,20.79,32,1.61,1.55,2.5,2.41,16,-2,1.83,1.8,2.13,2.07,1.13,9.74,27.7\r
I1,19/08/17,Verona,Napoli,1,3,A,0,2,A,12,22,4,12,7,9,3,6,2,2,0,1,8,4.75,1.4,8,4.6,1.42,7.3,4.1,1.43,7.5,4.6,1.4,8.46,5.08,1.42,8,4.5,1.4,7.5,4.8,1.4,36,8.46,7.59,5.08,4.71,1.47,1.41,32,1.67,1.61,2.38,2.29,16,1.25,1.98,1.95,1.97,1.92,8.37,5.21,1.41\r
I1,20/08/17,Atalanta,Roma,0,1,A,0,1,A,14,6,6,1,14,16,4,1,1,2,0,0,3.2,3.3,2.3,3.2,3.4,2.25,3.1,3.3,2.2,3,3.3,2.25,3.17,3.56,2.36,3.1,3.4,2.25,3.2,3.4,2.3,36,3.3,3.12,3.56,3.39,2.36,2.27,33,1.83,1.76,2.16,2.06,16,0.25,1.91,1.88,2.04,1.99,2.99,3.44,2.53\r
I1,20/08/17,Bologna,Torino,1,1,D,1,1,D,13,9,3,3,18,10,0,8,2,1,0,0,3.1,3.3,2.38,3.2,3.3,2.3,2.75,3.3,2.4,3.1,3.2,2.3,3.29,3.42,2.36,3.1,3.3,2.3,3.25,3.2,2.38,36,3.3,3.14,3.43,3.27,2.4,2.33,33,2.12,2.07,1.82,1.75,16,0.25,1.9,1.87,2.06,2,3.35,3.47,2.31\r
I1,20/08/17,Crotone,Milan,0,3,A,0,3,A,6,19,2,10,9,14,2,9,1,3,1,0,6,4,1.57,5.5,4.1,1.6,5.6,3.9,1.55,5.5,4,1.6,6.04,4.2,1.62,6,3.75,1.6,5.5,4,1.62,36,6.25,5.71,4.4,4.02,1.65,1.59,33,1.84,1.75,2.17,2.06,17,1,1.89,1.85,2.08,2.02,7.42,4.37,1.52\r
I1,20/08/17,Inter,Fiorentina,3,0,H,2,0,H,16,15,6,3,7,13,9,7,0,1,0,0,1.57,4,6,1.57,4.2,5.75,1.6,3.7,5.4,1.53,4,5.8,1.57,4.42,6.33,1.53,4,6.5,1.55,4.2,6.5,36,1.61,1.55,4.42,4.11,6.57,6.07,34,1.77,1.71,2.21,2.13,17,-1,2,1.96,1.95,1.91,1.48,4.65,7.7\r
I1,20/08/17,Lazio,Spal,0,0,D,0,0,D,23,9,13,2,20,4,9,5,2,2,0,0,1.29,5.5,11,1.26,5.75,12,1.3,5,9,1.3,5.2,11,1.31,5.72,12.15,1.29,5.5,10,1.29,5.5,12,36,1.32,1.29,6,5.37,13,10.9,33,1.73,1.67,2.29,2.18,16,-1.5,1.95,1.92,2,1.96,1.29,6.22,11.85\r
I1,20/08/17,Sampdoria,Benevento,2,1,H,1,1,D,16,18,6,7,10,10,6,7,1,2,0,0,1.67,3.75,5.5,1.67,3.7,5.5,1.65,3.6,5.1,1.67,3.7,5.25,1.69,3.96,5.63,1.62,3.8,5.5,1.65,3.75,6,36,1.72,1.66,3.96,3.71,6,5.5,33,2.02,1.96,1.92,1.85,15,-0.75,1.9,1.87,2.05,2.01,1.64,4.18,5.86\r
I1,20/08/17,Sassuolo,Genoa,0,0,D,0,0,D,14,12,3,4,16,28,2,5,2,3,0,0,2.2,3.25,3.5,2.2,3.3,3.4,2.3,3.3,2.9,2.1,3.3,3.4,2.18,3.49,3.63,2.15,3.3,3.4,2.15,3.3,3.7,36,2.3,2.16,3.49,3.32,3.7,3.42,34,2.05,1.96,1.92,1.85,16,-0.25,1.88,1.85,2.08,2.03,1.9,3.66,4.53\r
I1,20/08/17,Udinese,Chievo,1,2,A,1,1,D,18,10,5,3,11,10,5,4,2,2,0,0,2.1,3.2,3.8,2.1,3.25,3.75,2.2,3.3,3.1,2.05,3.2,3.8,2.11,3.44,3.91,2.1,3.3,3.6,2.1,3.2,4,36,2.2,2.09,3.44,3.25,4,3.72,33,2.33,2.23,1.7,1.65,15,-0.5,2.13,2.09,1.84,1.8,2.06,3.45,4.08\r
