city,stadium,capacity,lat,long
Saint-Denis,Stade de France,81338,48.92444,2.36
Marseille,Stade Vélodrome,67394,43.26972,5.395833
Lyon,Stade des Lumières,59286,45.76556,4.981111
Lille,Stade Pierre-Mauroy,50186,50.61194,3.130556
Paris,Parc des Princes,47000,48.84139,2.253056
Bordeaux,Nouveau Stade de Bordeaux,42115,44.89722,0.5619444
Saint-Étienne,Stade Geoffroy-Guichard,41965,45.46083,4.39
Nice,Allianz Riviera,35624,43.70694,7.194444
Lens,Stade Bollaert-Delelis,38223,50.43285,2.814853
Toulouse,Stadium Municipal,33300,43.58306,1.434167
