ADM1,Constituency
Bengo,AKROPONG
Bengo,ASIKUMA/ODOBEN/BRAKWA
Bengo,AVENOR-AVE
Bengo,AYENSUONO
Bengo,BONGO
Bengo,DAMONGO/DABOYA
Bengo,DOME-KWABENYA
Bengo,EJISU JUABEN
Bengo,HEMANG LOWER DENKYIRA
Bengo,HOHOE NORTH
Bengo,KUMBUNGU
Bengo,LEDZOKUKU
Bengo,NAVRONGO CENTRAL
Bengo,NEW JUABEN SOUTH
Bengo,NINGO-PRAMPRAM
Bengo,SOUTH TONGU
Bié,AKIM SWEDRU
Bié,AKWATIA
Bié,ASHAIMAN
Bié,ATEBUBU/AMANTING
Bié,ATWIMA MPONUA
Bié,BEKWAI
Bié,BEREKUM
Bié,BIA
Bié,BIAKOYE
Bié,BIBIANI-ANHWIASO-BEKWAI
Bié,BIMBILA
Bié,BINDURI
Bié,BOSOME-FREHO
Bié,BOSOMTWE
Bié,CHEREPONI
Bié,DOMEABRA-OBOM
Bié,ELLEMBELE
Bié,GUSHEIEGU
Bié,JIRAPA
Bié,KINTAMPO SOUTH
Bié,KRACHI EAST
Bié,KRACHI WEST
Bié,LOWER WEST AKIM
Bié,NADOWLI EAST
Bié,NADOWLI WEST
Bié,NHYIAESO
Bié,OBUASI
Bié,ODODODIODOO
Bié,ODOTOBRI
Bié,OFFINSO-SOUTH
Bié,OFOASE/AYIREBI
Bié,OFORIKROM
Bié,PUSIGA
Bié,SEFWI AKONTOMBRA
Bié,SHAI OSUDOKU
Bié,SUBIN
Bié,TAKORADI
Bié,TALENSI
Bié,UPPER WEST AKIM
Bié,WEIJA
Bié,WENCHI
Bié,YAPEI/KUSAWGU
Bié,YENDI
Bié,YILO KROBO
Bié,ZEBILLA
Cabinda,ABURI/NSAWAM
Cabinda,AFIGYA-SEKYERE EAST
Cabinda,AFIGYA-SEKYERE WEST
Cabinda,AKIM ODA
Cabinda,AOWIN
Cabinda,ATIWA
Cabinda,CHIANA-PAGA
Cabinda,NABDAM
Cabinda,TAIN
Cuando Cubango,HO EAST
Cuando Cubango,NORTH TONGU
Cuanza Norte,AHAFO ANO NORTH
Cuanza Norte,AKIM ABUAKWA NORTH
Cuanza Norte,ASANTE AKIM NORTH
Cuanza Norte,CAPE COAST
Cuanza Norte,JAMAN NORTH
Cuanza Norte,NEW JUABEN NORTH
Cuanza Norte,NKORANZA NORTH
Cuanza Norte,NKWANTA NORTH
Cuanza Norte,TAMALE NORTH
Cuanza Norte,TANO NORTH
Cuanza Norte,TECHIMAN NORTH
Cuanza Sul,AGONA EAST
Cuanza Sul,AGONA WEST
Cuanza Sul,AHAFO ANO SOUTH
Cuanza Sul,AKIM ABUAKWA SOUTH
Cuanza Sul,ASSIN SOUTH
Cuanza Sul,JAMAN SOUTH
Cuanza Sul,NKORANZA SOUTH
Cuanza Sul,NKWANTA SOUTH
Cuanza Sul,TANO SOUTH
Cuanza Sul,TECHIMAN SOUTH
Cunene,AJUMAKO/ENYAN/ESIAM
Cunene,AWUTU-SENYA
Cunene,AYAWASO CENTRAL
Cunene,CENTRAL TONGU
Cunene,HO CENTRAL
Cunene,SENE
Cunene,WA CENTRAL
Huambo,GAMBAGA
Huambo,HO WEST
Huambo,JUABOSO
Huambo,SABOBA
Huambo,SHAMA
Huambo,SUAME
Huambo,SUHUM
Huíla,EJURA-SEKYEDUMASE
Huíla,KUMAWU
Huíla,NSUTA/KWAMANG
Luanda,ABLEKUMA CENTRAL
Luanda,ADA
