name,ideology
União Nacional para a Independência Total de Angola,conservative
Convergência Ampla de Salvação de Angola-Coligação Eleitoral,conservative
Partido Democrático para o Progresso-Aliança Nacional Angolana,social democrat
Frente Unida para a Mundança de Angola,social democrat
Partido de Renovação Social,social democrat
Partido Popular para Desenvolvimento,social democrat
Movimento Popular de Libertação de Angola,social democrat
Frente Nacional de Libertação de Angola,regionalist
Nova Democracia União Eleitoral,social democrat
Partido Liberal Democrático,liberal democrat
