ADM1,Constituency
Berat,Berat
Berat,bashkia bajram
Berat,bashkia berat
Berat,kÀshilli qarkut berat
Dibër,Dibër
Dibër,bashkia librazhd
Durrës,Durrës
Durrës,bashkia burrel
Durrës,bashkia durrËs i
Durrës,bashkia durrËs ii
Durrës,bashkia rrËshen
Durrës,kËshilli qarku durrËs i
Durrës,kËshilli qarku durrËs ii
Elbasan,Elbasan
Elbasan,bashkia ballsh
Elbasan,bashkia belsh
Elbasan,bashkia bulqizË
Elbasan,bashkia cËrrik
Elbasan,bashkia delvinÀ
Elbasan,bashkia elbasan i
Elbasan,bashkia elbasan ii
Elbasan,bashkia gramsh
Elbasan,bashkia kavaje
Elbasan,bashkia klos
Elbasan,bashkia ku«ovÀ
Elbasan,bashkia laÇ
Elbasan,bashkia lushnjÀ
Elbasan,bashkia maliq
Elbasan,bashkia patos
Elbasan,bashkia peqin
Elbasan,bashkia prenjas
Elbasan,bashkia pÀrmet
Elbasan,bashkia rrogozhinË
Elbasan,bashkia sarandÀ
Elbasan,bashkia tepelenÀ
Elbasan,ish bashkia sarandÀ
Elbasan,kËshilli qarkut elbasan
Fier,Fier
Fier,Tiranë
Fier,bashkia ersekÀ
Fier,bashkia fier i
Fier,bashkia fier ii
Fier,bashkia tiranË i
Fier,bashkia tiranË ii
Fier,bashkia tiranË iii
Fier,bashkia tiranË iv
Fier,bashkia tiranË ix
Fier,bashkia tiranË v
Fier,bashkia tiranË vi
Fier,bashkia tiranË vii
Fier,bashkia tiranË viii
Fier,bashkia tiranË x
Fier,bashkia tiranË xi
Fier,kËshilli qarkut tiranË
Fier,universiteti bujqËsor
Gjirokastër,Gjirokastër
Gjirokastër,bashkia gjirokastÀr
Korçë,Korçë
Korçë,bashkia koplik
Korçë,bashkia korcÀ
Korçë,bashkia krujË
Korçë,bashkia orovodÀ
Korçë,bashkia pogradec
Korçë,bashkia ura vajgurore
Korçë,komuna arras
Korçë,komuna balldre
Korçë,komuna bradashesh
Korçë,komuna bushat
Korçë,komuna cakran
Korçë,komuna daj
Korçë,komuna gjegjan
Korçë,komuna golem i
Korçë,komuna golem ii
Korçë,komuna kamËz
Korçë,komuna krutje
Korçë,komuna kutalli
Korçë,komuna levan
Korçë,komuna libofsh
Korçë,komuna milot
Korçë,komuna pojan
Korçë,komuna postrib
Korçë,komuna qendÀr bulgarec
Korçë,komuna roshnik
Korçë,komuna vaqarr
Korçë,komuna vllahinÀ
Korçë,komuna «erravÀ
Korçë,kÀshilli qarkut kor«À
Korçë,zone 1
Korçë,zone 10
Korçë,zone 100
Korçë,zone 11
Korçë,zone 12
Korçë,zone 13
Korçë,zone 14
Korçë,zone 15
Korçë,zone 16
Korçë,zone 17
Korçë,zone 18
Korçë,zone 19
Korçë,zone 2
Korçë,zone 20
Korçë,zone 21
Korçë,zone 22
Korçë,zone 23
Korçë,zone 24
Korçë,zone 25
Korçë,zone 26
Korçë,zone 27
Korçë,zone 28
Korçë,zone 29
Korçë,zone 3
Korçë,zone 30
Korçë,zone 31
Korçë,zone 32
Korçë,zone 33
Korçë,zone 34
Korçë,zone 35
Korçë,zone 36
Korçë,zone 37
Korçë,zone 38
Korçë,zone 39
Korçë,zone 4
Korçë,zone 40
Korçë,zone 41
Korçë,zone 42
Korçë,zone 43
Korçë,zone 44
Korçë,zone 45
Korçë,zone 46
Korçë,zone 47
Korçë,zone 48
Korçë,zone 49
Korçë,zone 5
Korçë,zone 50
Korçë,zone 51
Korçë,zone 52
Korçë,zone 53
Korçë,zone 54
Korçë,zone 55
Korçë,zone 56
Korçë,zone 57
Korçë,zone 58
Korçë,zone 59
Korçë,zone 6
Korçë,zone 60
Korçë,zone 61
Korçë,zone 62
Korçë,zone 63
Korçë,zone 64
Korçë,zone 65
Korçë,zone 66
Korçë,zone 67
Korçë,zone 68
Korçë,zone 69
Korçë,zone 7
Korçë,zone 70
Korçë,zone 71
Korçë,zone 72
Korçë,zone 73
Korçë,zone 74
Korçë,zone 75
Korçë,zone 76
Korçë,zone 77
Korçë,zone 78
Korçë,zone 79
Korçë,zone 8
Korçë,zone 80
Korçë,zone 81
Korçë,zone 82
Korçë,zone 83
Korçë,zone 84
Korçë,zone 85
Korçë,zone 86
Korçë,zone 87
Korçë,zone 88
Korçë,zone 89
Korçë,zone 9
Korçë,zone 90
Korçë,zone 901
Korçë,zone 91
Korçë,zone 92
Korçë,zone 93
Korçë,zone 94
Korçë,zone 95
Korçë,zone 96
Korçë,zone 97
Korçë,zone 98
Korçë,zone 99
Kukës,Kukës
Kukës,bashkia kukËs
Kukës,bashkia pukË
Kukës,kËshilli qarkut i
Kukës,kËshilli qarkut ii
Kukës,kËshilli qarkut kukËs
Lezhë,Lezhë
Lezhë,bashkia lezhË
Shkodër,Shkodër
Shkodër,bashkia bilisht
Shkodër,bashkia divjakÀ
Shkodër,bashkia fushË krujË
Shkodër,bashkia libohovÀ
Shkodër,bashkia peshkopi
Shkodër,bashkia roskovec
Shkodër,bashkia shijak
Shkodër,bashkia shkodÀr
Shkodër,bashkia sukth
Vlorë,Vlorë
Vlorë,bashkia vlorÀ i
Vlorë,bashkia vlorÀ ii
Vlorë,bashkia vorË
Vlorë,kÀshilli qarkut vlorÀ i
Vlorë,kÀshilli qarkut vlorÀ ii
Vlorë,universiteti vlorÀ
