name,ideology
Agrupament Nacional Democràtic,social democrat
Centre Demòcrata Andorrà-Segle21,conservative
Coalició Reformista,christian democrat
Demòcrates per Andorra,conservative
Demòcrates per Andorra-Unió del Progres,liberal democrat
Joint Coalició Reformista-Unió Laurediana,conservative
Partit Demòcrata,liberal democrat
Partit Liberal d'Andorra,liberal democrat
Partit Liberal d'Andorra-Independent,liberal democrat
Partit Socialdemòcratica,social democrat
Partit Socialdemòcratica-Grup d'Unió Parroquial Independents,social democrat
Partit Socialdemòcratica-Independent,social democrat
Unió Laurediana,conservative
Unió Liberal,liberal democrat
Unió Parroquial d'Ordino,liberal democrat
