name,ideology
alianza trab.just.y educ. - frente civico y social,social democrat
FTE. PARA LA VICTORIA,social democrat
alianza frente just. chaco merece mas,social democrat
al. fre.ju.po.,social democrat
FTE. CAMBIEMOS PARA CRECER,conservative
afirmaci—n para una repœblica igualitaria,liberal-socialist
fre.ju.po.,social democrat
FTE. RENOVADOR DE LA CONCORDIA,social democrat
a.r.i.,liberal-socialist
fuerza republicana,conservative
frente justicialista renovador,conservative
"alianza trab.educ., just. y dignidad",social democrat
AL. FTE. JUSTICIALISTA ES POSIBLE,christian democrat
pacto  autonomista-liberal-democrata progresista-mov. lib. pop.,liberal democrat
frente civico jujeÑo,social democrat
frente para el cambio,social democrat
cruzada renovadora,social democrat
frente justicialista entrerriano,conservative
alianza frente para la victoria,conservative
alianza frente de todos,social democrat
progreso social,social democrat
frente justicialista,conservative
fre.ju.li.,conservative
alianza frente justicialista compromiso mendoza,conservative
unión civica radical,social democrat
al frejupo,social democrat
al. fte. de la victoria-justicialista,conservative
AL. FTE. CIVICO Y SOCIAL,social democrat
alianza accion chaqueÑa,conservative
alianza u.c.r. por la patagonia,social democrat
alianza concert. just. p/ cambio,social democrat
alianza frente para el cambio,social democrat
u.c.r,social democrat
frente renovador de la concordia,social democrat
u.c.r. - mov.popular catamarqueÑo,social democrat
movimiento popular neuquino,regionalist
alianza para san juan trab.just. y educ.,social democrat
fte.just.pop.santacruceÑo,conservative
alianza trab.just.y educ. - frente de todos,social democrat
renovador de salta,conservative
pacto  autonomista-liberal-democrata progresista,liberal democrat
pacto autonomista liberal - federal - democrata progresista,liberal democrat
frente de todos,social democrat
fre.pa.so.,communist
al.fte.just.todos p/el cambio,social democrat
frente c’vico por santiago,social democrat
p.autnomista liberal-d.progresista.-m.liberacion pop.,other
justicialista,conservative
AL. FTE. PARA LA VICTORIA,conservative
frente renovador,conservative
alianza frente c’vico y social,social democrat
frente corriente renovadora,conservative
u.c.r.,social democrat
frente partido justicialista,conservative
alianza frente civico y social,social democrat
fre.ju.pe.,social democrat
fre.ju.vi.,social democrat
frente justicialista riojano,conservative
pj,christian democrat
UNION PRO,conservative
alianza concertacion para el desarrollo,social democrat
partido socialista,social democrat
FTE. POR LA INTEGRACION,conservative
frente renovador justicialista,conservative
fte.just.para la victoria,conservative
AL. FTE. CHACO MERECE MAS,conservative
FTE. CIVICO POR SANTIAGO,social democrat
accion por la republica,liberal democrat
uni—n civica radical,social democrat
alianza union por cordoba,conservative
frente de la esperanza,social democrat
alianza frente justicialista de la esperanza,conservative
alianza unidos por san juan,conservative
alianza frente movimiento popular,social democrat
FTE. JUSTICIALISTA DEL PUEBLO,conservative
democrata,social democrat
fte. fundacional just.,conservative
fre. ju. fe.,social democrat
frente justicialista por santa fe,conservative
JUSTICIALISTA,conservative
partido de la victoria,conservative
u.ce.de.,social democrat
frente para la victoria,conservative
partido nuevo,social democrat
ACUERDO CIVICO Y SOCIAL,social democrat
alianza frente del pueblo riojano,conservative
alianza frente justicialista,conservative
alianza partido juticialista - frente justicia union y libertad,conservative
AL. SANTA FE FEDERAL,social democrat
alianza trab.just. y educ.,social democrat
p.a.l. - democ.progresista,social democrat
mov. popular neuquino,regionalist
"alianza p/ trab., just. y educ.",social democrat
alianza u.c.r.- movimiento,social democrat
alianza unión por cordoba,conservative
alianza frente justicialista para la victoria,conservative
frente cívico por santiago,social democrat
MOV. POP. NEUQUINO,regionalist
mov. popular fueguino,regionalist
FRENTE PARA LA VICTORIA,conservative
frente para la unidad,communist
frente de la victoria,conservative
partido justicialista,conservative
al. frente de todos,social democrat
UNION CIVICA RADICAL,conservative
al. fte. de todos,social democrat
alianza trab.just.y educ.,social democrat
frente partido nuevo,conservative
"frente progresista, cívico y social",social democrat
alianza frente de la unidad,communist
AL. FTE. CIVICO FEDERAL-UCR-CONFE,liberal democrat
