ADM1,Constituency
Aragatsotn,1
Aragatsotn,10
Aragatsotn,11
Aragatsotn,12
Aragatsotn,13
Aragatsotn,14
Aragatsotn,15
Aragatsotn,16
Aragatsotn,17
Aragatsotn,18
Aragatsotn,19
Aragatsotn,2
Aragatsotn,20
Aragatsotn,21
Aragatsotn,22
Aragatsotn,23
Aragatsotn,24
Aragatsotn,25
Aragatsotn,26
Aragatsotn,27
Aragatsotn,28
Aragatsotn,29
Aragatsotn,3
Aragatsotn,30
Aragatsotn,31
Aragatsotn,32
Aragatsotn,33
Aragatsotn,34
Aragatsotn,35
Aragatsotn,36
Aragatsotn,37
Aragatsotn,38
Aragatsotn,39
Aragatsotn,4
Aragatsotn,40
Aragatsotn,41
Aragatsotn,5
Aragatsotn,6
Aragatsotn,7
Aragatsotn,8
Aragatsotn,9
