ADM1,Constituency
Barbuda,Barbuda
Barbuda,St. John's City South/Barbuda
Barbuda,barbuda
Saint George,St. George
Saint George,St. George/ St. John Rural North
Saint George,St. Luke
Saint George,st. george
Saint John,St. John Rural East
Saint John,St. John Rural North
Saint John,St. John Rural South
Saint John,St. John Rural West
Saint John,St. John's City East
Saint John,St. John's City North
Saint John,St. John's City South
Saint John,St. John's City West
Saint John,st. john's city east
Saint John,st. john's city south
Saint John,st. john's city west
Saint John,st. john's rural east
Saint John,st. john's rural north
Saint John,st. john's rural south
Saint John,st. john's rural west
Saint Mary,St. Mary
Saint Mary,St. Mary North
Saint Mary,St. Mary South
Saint Mary,st. mary's north
Saint Mary,st. mary's south
Saint Paul,All Saints
Saint Paul,All Saints West
Saint Paul,St. Paul
Saint Paul,all saints west
Saint Paul,st. paul
Saint Peter,All Saints East and St. Luke
Saint Peter,St. Peter
Saint Peter,St. Peter/St. Philip
Saint Peter,all saints east & st. luke
Saint Peter,st. peter
Saint Philip,St. Philip North
Saint Philip,St. Philip South
Saint Philip,st. phillip north
Saint Philip,st. phillip south
