ADM1,Constituency
Burgenland,burgenland
Burgenland,burgenland nord
Burgenland,burgenland süd
Kärnten,klagenfurt
Kärnten,kärnten
Kärnten,kärnten ost
Kärnten,kärnten west
Kärnten,villach
Kärnten,willach
Niederösterreich,niederösterreich
Niederösterreich,niederösterreich mitte
Niederösterreich,niederösterreich süd
Niederösterreich,niederösterreich süd - ost
Niederösterreich,niederösterreich süd-ost
Niederösterreich,waldviertel
Niederösterreich,mostviertel
Niederösterreich,viertel oberm wienerwald
Niederösterreich,viertel unterm wienerwald
Niederösterreich,viertel oberm manhartsberg
Niederösterreich,viertel unterm manhartsberg
Niederösterreich,weinviertel
Oberösterreich,hausruckviertel
Oberösterreich,innviertel
Oberösterreich,mühlviertel
Oberösterreich,innenviertel
Oberösterreich,oberösterreich
Oberösterreich,traunviertel
Oberösterreich,linz und umgebung
Salzburg,salzburg
Salzburg,flachau/tennengau
Salzburg,flachgau/tennengau
Salzburg,salzburg (stadt)
Salzburg,salzburg stadt
Salzburg,lungau/pinzgau/pongau
Steiermark,mittel- und untersteier
Steiermark,oststeier
Steiermark,obersteier
Steiermark,graz (stadt)
Steiermark,graz
Steiermark,graz und umgebung
Steiermark,steiermark
Steiermark,steiermark mitte
Steiermark,steiermark nord
Steiermark,steiermark nord-west
Steiermark,steiermark ost
Steiermark,steiermark süd
Steiermark,steiermark süd-ost
Steiermark,steiermark west
Tirol,nordtirol
Tirol,osttirol
Tirol,tirol
Tirol,oberland
Tirol,unterland
Tirol,innsbruck-land
Tirol,innsbruck
Tirol,lienz
Vorarlberg,vorarlberg
Vorarlberg,vorarlberg nord
Vorarlberg,vorarlberg süd
Wien,wien
Wien,wien innen-ost
Wien,wien innen-süd
Wien,wien innen-west
Wien,wien nord
Wien,wien nord-west
Wien,wien nordost
Wien,wien nordwest
Wien,wien süd
Wien,wien süd-west
Wien,wien südost
Wien,wien südwest
Wien,wien umgebung
Wien,wien west
Wien,wien-umgebung
