ADM1,Constituency
Abşeron,Absheron
Abşeron,Santiago del Estero
Abşeron,Sumgait-Absheron
Astara,Astara
Astara,Catamarca
Astara,Garadagh-Binaqadi-Yasamal
Astara,Khatai second
Astara,Khatai third
Astara,Lankaran-Astara
Astara,Sharur-Sadarak
Astara,Tartar
Astara,Tierra del Fuego
Astara,Yasamal first
Astara,Yasamal second
Astara,Yasamal third
Ağcabədi,Aghjabadi
Ağdam,Aghdam city
Ağdam,Aghdam village
Ağdam,Aghdash
Ağdam,Barda city
Ağdam,Barda village
Ağdam,Garadagh
Ağdam,Goychay-Aghdash
Ağdam,La Pampa
Ağstafa,Aghstafa
Ağstafa,Khatai first
Ağstafa,Khatai fourth
Ağstafa,Santa Fe
Ağsu,Nasimi second
Babək,Julfa-Babek
Bakı,Shaki city
Bakı,Surakhani first
Bakı,Surakhani second
Bakı,Surakhani third
Balakən,Balakan
Beyləqan,Beylagan
Beyləqan,Imishli-Beylagan
Biləsuvar,Bilasuvar
Biləsuvar,Jalilabad- Masalli -Bilasuvar
Cəlilabad,Jalilabad city
Cəlilabad,Jalilabad village
Füzuli,Aghjabadi-Fuzuli
Füzuli,Fuzuli
Goranboy,Goranboy-Aghdam-Tartar
Goranboy,Goranboy-Naftalan
Goranboy,Río Negro
Göyçay,Goychay
Gədəbəy,Gadabay
Hajigabul,Gabala
Hajigabul,Hajigabul-Kurdamir
Kangarli,Babek-Kangarly-Nakhchivan
Kangarli,San Luis
Kürdəmir,Kurdamir
Lankaran,Goygol-Dashkasan election constituency
Lankaran,Khankendi
Lankaran,Lankaran city
Lankaran,Lankaran village
Lankaran,Lankaran-Masalli
Lankaran,Narimanov first
Lerik,Lerik
Masallı,Formosa
Masallı,Masalli city
Masallı,Masalli village
Masallı,Yardimli-Masalli
Mingəçevir,Mingachevir
Mingəçevir,Misiones
Naxçıvan,Narimanov second
Naxçıvan,Narimanov-Nizami
Neftçala,Neftchala
Ordubad,Córdoba
Ordubad,Ordubad-Gulfa
Oğuz,Mendoza
Qax,Binaqad first
Qax,Binaqadi second
Qax,Binaqadi third
Qazax,Gazakh
Qazax,Khazar first
Qazax,Khazar second
Qobustan,Gobustan-Khizy -Sumgait
Quba,Guba
Quba,Neuquén
Qubadli,Jabrail-Gubadli
Qusar,Buenos Aires
Qusar,Guba- Gusar
Qusar,Gusar
Saatlı,Nasimi-Sabail
Saatlı,Saatli
Saatlı,Sabail
Sabirabad,Saatli-Sabirabad-Kurdamir
Sabirabad,Sabirabad first
Sabirabad,Sabirabad second
Salyan,Lachin
Salyan,Salta
Salyan,Salyan
Salyan,Salyan- Naftchala
Salyan,San Juan
Samux,Sabunchu first
Samux,Sabunchu second
Samux,Sabunchu third
Samux,Samukh-Shamkir
Samux,Shamakhi
Samux,Sharur
Shirvan,Nakhchivan city
Shirvan,Shirvan
Siyəzən,Shabran-Siyazan
Sumqayıt,Jujuy
Sumqayıt,Sumgait first
Sumqayıt,Sumgait second
Sumqayıt,Sumgait third
Tovuz,Gadabay-Tovuz
Tovuz,Tovuz city
Tovuz,Tovuz-Gazakh-Aghstafa
Tərtər,Entre Ríos
Ucar,Chaco
Ucar,Corrientes
Ucar,Tucumán
Ucar,Ujar
Xanlar,Kalbajar
Xanlar,Nizami first (Ganja)
Xanlar,Nizami second (Ganja)
Xanlar,Santa Cruz
Xaçmaz,Kapaz first (Ganja)
Xaçmaz,Kapaz second (Ganja)
Xaçmaz,Khachmaz city
Xaçmaz,Khachmaz village
Xizı,Nizami second
Xocavənd,Shusha-Aghdam-Khojaly-Khogavand
Yevlakh,Yevlakh
Yevlakh,Yevlakh-Mingachevir
Yevlakh Rayon,Gakh
Yevlakh Rayon,La Rioja
Zaqatala,Oghuz-Gabala
Zaqatala,Zagatala
Zaqatala,Zagatala-Balakan
Zəngilan,Zangilan-Gubadli
Zərdab,Zardab-Ujar
İmişli,Aghsu-Ismailli
İmişli,Imishli
İmişli,Ismailli
İmişli,Shaki village first
İmişli,Shaki village second
Şahbuz,Chubut
Şahbuz,Shahbuz-Babek
Şəmkir,Nasimi first
Şəmkir,Nizami first
Şəmkir,Shamkir city
Şəmkir,Shamkir village
Şəmkir,Shamkir-Dashkasan
