name,ideology
bloc catholique belge,christian democrat
cartel libéral-socialiste,liberal-socialist
christelijke volkspartij,christian democrat
fdf + rw,regionalist
fdf + rw + pldp,regionalist
parti de la liberté et du progrès-partij voor vrijheid en vo,liberal democrat
parti libéral-liberale partij,liberal democrat
parti ouvrier belge-belgische werkliedenpartij,social democrat
parti réformateur libéral,liberal democrat
parti social-chrétien,christian democrat
parti social-chrétien-christelijke volkspartij,christian democrat
parti socialiste,social democrat
parti socialiste belge-belgische socialistische partij,social democrat
prl + fdf,regionalist
union catholique belge,christian democrat
