ADM1,Constituency
Alibori,AINABKOI
Alibori,AINAMOI
Alibori,BALAMBALA
Alibori,BOBASI
Alibori,BURETI
Alibori,BUURI
Alibori,EMBAKASI  NORTH
Alibori,EMURUA  DIKIRR
Alibori,GALOLE
Alibori,HAMISI
Alibori,KABUCHAI
Alibori,KACHELIBA
Alibori,KAJIADO WEST
Alibori,KALOLENI
Alibori,KAPSERET
Alibori,KIBRA
Alibori,KIBWEZI EAST
Alibori,KIBWEZI WEST
Alibori,KILGORIS
Alibori,KIMILILI
Alibori,KIPIPIRI
Alibori,KIRINYAGA  CENTRAL
Alibori,LAIKIPIA WEST
Alibori,LAISAMIS
Alibori,LARI
Alibori,LIKONI
Alibori,LIMURU
Alibori,LUGARI
Alibori,LURAMBI
Alibori,MALINDI
Alibori,MSAMBWENI
Alibori,NANDI HILLS
Alibori,NYALI
Alibori,NYARIBARI  CHACHE
Alibori,NYARIBARI  MASABA
Alibori,RABAI
Alibori,RARIEDA
Alibori,SABOTI
Alibori,SIRISIA
Alibori,URIRI
Alibori,VOI
Alibori,WAJIR WEST
Atakora,DADAAB
Atakora,ELDAMA RAVINE
Atakora,EMBAKASI  EAST
Atakora,EMBAKASI  WEST
Atakora,GATANGA
Atakora,IJARA
Atakora,KAJIADO CENTRAL
Atakora,KANDARA
Atakora,KASARANI
Atakora,KIAMBAA
Atakora,KURIA EAST
Atakora,KURIA WEST
Atakora,MAARA
Atakora,MACHAKOS TOWN
Atakora,MAKADARA
Atakora,MARAGWA
Atakora,MARAKWET EAST
Atakora,MARAKWET WEST
Atakora,MATAYOS
Atakora,MATHARE
Atakora,MATHIOYA
Atakora,MATHIRA
Atakora,NAIVASHA
Atakora,NAKURU  TOWN EAST
Atakora,NAROK EAST
Atakora,NAVAKHOLO
Atakora,NYAKACH
Atakora,OTHAYA
Atakora,RUARAKA
Atakora,STAREHE
Atakora,TARBAJ
Atakora,WAJIR EAST
Atlantique,ALDAI
Atlantique,BAHATI
Atlantique,BANISSA
Atlantique,BUDALANGI
Atlantique,BUTULA
Atlantique,CENTRAL  IMENTI
Atlantique,CHEPALUNGU
Atlantique,FAFI
Atlantique,GANZE
Atlantique,KAITI
Atlantique,KAMUKUNJI
Atlantique,KANDUYI
Atlantique,KASIPUL
Atlantique,KATHIANI
Atlantique,KISAUNI
Atlantique,KITUI EAST
Atlantique,LAMU EAST
Atlantique,LAMU WEST
Atlantique,LANG'ATA
Atlantique,LIKUYANI
Atlantique,MAGARINI
Atlantique,MATUNGU
Atlantique,MATUNGULU
Atlantique,MWALA
Atlantique,MWATATE
Atlantique,NAMBALE
Atlantique,NDIA
Atlantique,NYATIKE
Atlantique,RANGWE
