name,ideology
Parti Social-Democrate,social democrat
Union pour la Democratie et la Solidarite Nationale,social democrat
Notre Cause Commune,christian democrat
La Renaissance du Benin,liberal democrat
Union pour le Triomphe du Renouvellement Democratique,social democrat
Alliance MNDD-MSUP-UDRN,social democrat
Front D’Action pour le Renouveau et le Developpement (FARD-ALAFIA),social democrat
Alliance PRD-PNDD,regionalist
Alliance PSD-UNSP,social democrat
Forces Cauris pour Un Benin Emergent,social democrat
Alliance PNT-URP,social democrat
Alliance UTD-PNT,social democrat
Parti du Renouveau Democratique,regionalist
L’Union Fait La Nation,social democrat
