ADM1,Constituency
Blagoevgrad,Blagoevgrad
Blagoevgrad,blagoevgrad
Burgas,Burgas
Burgas,burgas
Dobrich,Dobrich
Dobrich,dobrych
Gabrovo,Gabrovo
Gabrovo,Río Negro
Gabrovo,grabrovo
Grad Sofiya,Córdoba
Grad Sofiya,Noisy
Haskovo,Chaco
Haskovo,Haskovo
Haskovo,New South Wales
Haskovo,khaskovo
Kardzhali,Kardzhali
Kardzhali,Kurdzhali
Kardzhali,South Australia
Kardzhali,Western Australia
Kardzhali,kurdzhali
Kyustendil,Kyustendil
Kyustendil,kyustendil
Lovech,Chubut
Lovech,Lovech
Lovech,lovech
Montana,Montana
Montana,montana
Pazardzhik,Pazadzhic
Pazardzhik,Pazardzhik
Pazardzhik,pazardzhik
Pernik,Northern Territory
Pernik,Pernik
Pernik,pernik
Pleven,Pleven
Pleven,pleven
Plovdiv,Plovdiv 1
Plovdiv,Plovdiv 2
Plovdiv,Plovdiv City
Plovdiv,Plovdiv Distric
Plovdiv,Plovdiv District
Plovdiv,Plovdiv Town
Plovdiv,plovdiv grad
Plovdiv,plovdivokrug
Razgrad,Razgrad
Razgrad,Tierra del Fuego
Razgrad,razgrad
Ruse,Entre Ríos
Ruse,Jujuy
Ruse,Ruse
Ruse,ruse
Shumen,Buenos Aires
Shumen,Mendoza
Shumen,Shumen
Shumen,Tucumán
Shumen,shumen
Silistra,Salta
Silistra,San Luis
Silistra,Silistra
Silistra,silistra
Sliven,Corrientes
Sliven,Neuquén
Sliven,Queensland
Sliven,Slivem
Sliven,Sliven
Sliven,sliven
Smolyan,Macquarie Island
Smolyan,Norfolk Island
Smolyan,Smolyan
Smolyan,smolyan
Sofia,Sofia 1
Sofia,Sofia 2
Sofia,Sofia 3
Sofia,Sofia Distric
Sofia,Sofia District
Sofia,Sofia Province
Sofia,Victoria
Sofia,sofia 1
Sofia,sofia 2
Sofia,sofia 3
Sofia,sofia okrug
Stara Zagora,La Pampa
Stara Zagora,Stara Zagora
Stara Zagora,Stara Zaroga
Stara Zagora,stara zagora
Targovishte,Jervis Bay Territory
Targovishte,Targovishte
Targovishte,turgovishche
Varna,Australian Capital Territory
Varna,Catamarca
Varna,La Rioja
Varna,San Juan
Varna,Santa Cruz
Varna,Santa Fe
Varna,Santiago del Estero
Varna,Tasmania
Varna,Varna
Varna,varna
Veliko Tarnovo,Valiko-Tarnovo
Veliko Tarnovo,Veliko Tarnovo
Veliko Tarnovo,veliko turnovo
Vidin,Misiones
Vidin,Vidin
Vidin,vidin
Vratsa,Formosa
Vratsa,Vratsa
Vratsa,vratsa
Yambol,Yambol
Yambol,Yambul
Yambol,yambol
