ADM1,Constituency
Belize,Albert
Belize,Belize North
Belize,Belize Rural
Belize,Belize Rural Central
Belize,Belize Rural North
Belize,Belize Rural South
Belize,Belize South
Belize,Belize West
Belize,Belmopan
Belize,Lake Independence
Cayo,Caribbean Shores
Cayo,Cayo
Cayo,Cayo Central
Cayo,Cayo North
Cayo,Cayo North East
Cayo,Cayo South
Cayo,Cayo West
Cayo,Port Layola
Cayo,Port Loyola
Corozal,Corozal
Corozal,Corozal Bay
Corozal,Corozal North
Corozal,Corozal South
Corozal,Corozal South East
Corozal,Corozal South West
Corozal,Mesopotamia
Orange Walk,Dangriga
Orange Walk,Orange Walk
Orange Walk,Orange Walk Central
Orange Walk,Orange Walk East
Orange Walk,Orange Walk North
Orange Walk,Orange Walk South
Stann Creek,Freetown
Stann Creek,Pickstock
Stann Creek,Queen's Square
Stann Creek,Stann Creek
Stann Creek,Stann Creek Rural
Stann Creek,Stann Creek South
Stann Creek,Stann Creek Town
Stann Creek,Stann Creek West
Toledo,Collet
Toledo,Fort George
Toledo,Toledo
Toledo,Toledo East
Toledo,Toledo North
Toledo,Toledo South
Toledo,Toledo West
