ADM1,Constituency
Devonshire,Devonshire East
Devonshire,Devonshire North
Devonshire,Devonshire North Central
Devonshire,Devonshire North West
Devonshire,Devonshire South
Devonshire,Devonshire South Central
Devonshire,devonshire east
Devonshire,devonshire north
Devonshire,devonshire north central
Devonshire,devonshire north west
Devonshire,devonshire south
Devonshire,devonshire south central
Hamilton,Hamilton East
Hamilton,Hamilton South
Hamilton,Hamilton West
Hamilton,hamilton east
Hamilton,hamilton south
Hamilton,hamilton west
Paget,Paget East
Paget,Paget West
Paget,paget east
Paget,paget west
Pembroke,Pembroke Central
Pembroke,Pembroke East
Pembroke,Pembroke East Central
Pembroke,Pembroke North
Pembroke,Pembroke South
Pembroke,Pembroke South East
Pembroke,Pembroke South West
Pembroke,Pembroke West
Pembroke,Pembroke West Central
Pembroke,pembroke central
Pembroke,pembroke east
Pembroke,pembroke east central
Pembroke,pembroke south east
Pembroke,pembroke south west
Pembroke,pembroke west
Pembroke,pembroke west central
Saint George's,St. Georges East
Saint George's,St. Georges West
Sandys,Sandys North
Sandys,Sandys North Central
Sandys,Sandys South
Sandys,Sandys South Central
Sandys,sandys north
Sandys,sandys north central
Sandys,sandys south
Sandys,sandys south central
Smith's,Sandy's North
Smith's,Smith's East
Smith's,Smith's North
Smith's,Smith's South
Smith's,Smith's West
Smith's,Smith’s North
Smith's,Smith’s South
Smith's,St. David's
Smith's,St. George's North
Smith's,St. George's South
Smith's,St. George's West
Smith's,St. George’s North
Smith's,St. George’s South
Smith's,smith's north
Smith's,smith's south
Smith's,smith's west
Smith's,smiths north
Smith's,smiths south
Smith's,smiths west
Smith's,st. david's
Smith's,st. george's north
Smith's,st. george's south
Smith's,st. george's west
Southampton,Southampton East
Southampton,Southampton East Central
Southampton,Southampton West
Southampton,Southampton West Central
Southampton,southampton east
Southampton,southampton east central
Southampton,southampton west
Southampton,southampton west central
Warwick,Warwick East
Warwick,Warwick North Central
Warwick,Warwick North East
Warwick,Warwick South Central
Warwick,Warwick South East
Warwick,Warwick West
Warwick,warwick east
Warwick,warwick north central
Warwick,warwick north east
Warwick,warwick south central
Warwick,warwick south east
Warwick,warwick west
