ADM1,Constituency
Chuquisaca,CHUQUISACA
Chuquisaca,CHUQUISACA 1
Chuquisaca,CHUQUISACA 2
Chuquisaca,CHUQUISACA 3
Chuquisaca,CHUQUISACA 4
Chuquisaca,CHUQUISACA 5
Chuquisaca,CHUQUISACA 6
Chuquisaca,chuquisaca
Chuquisaca,chuquisaca 1
Chuquisaca,chuquisaca 2
Chuquisaca,chuquisaca 3
Chuquisaca,chuquisaca 4
Chuquisaca,chuquisaca 5
Chuquisaca,chuquisaca 6
Cochabamba,COCHABAMBA
Cochabamba,COCHABAMBA 12
Cochabamba,COCHABAMBA 23
Cochabamba,COCHABAMBA 24
Cochabamba,COCHABAMBA 25
Cochabamba,COCHABAMBA 26
Cochabamba,COCHABAMBA 27
Cochabamba,COCHABAMBA 28
Cochabamba,COCHABAMBA 29
Cochabamba,COCHABAMBA 30
Cochabamba,COCHABAMBA 31
Cochabamba,COCHABAMBA Indígena Cochabamba
Cochabamba,cochabamba
Cochabamba,cochabamba 1
Cochabamba,cochabamba 10
Cochabamba,cochabamba 11
Cochabamba,cochabamba 12
Cochabamba,cochabamba 13
Cochabamba,cochabamba 14
Cochabamba,cochabamba 15
Cochabamba,cochabamba 16
Cochabamba,cochabamba 2
Cochabamba,cochabamba 3
Cochabamba,cochabamba 4
Cochabamba,cochabamba 5
Cochabamba,cochabamba 6
Cochabamba,cochabamba 7
Cochabamba,cochabamba 8
Cochabamba,cochabamba 9
El Beni,BENI
El Beni,BENI 61
El Beni,BENI 62
El Beni,BENI 63
El Beni,BENI 64
El Beni,BENI 65
El Beni,BENI Indígena Beni
El Beni,beni
El Beni,beni 1
El Beni,beni 2
El Beni,beni 3
El Beni,beni 4
El Beni,beni 5
La Paz,LA PAZ
La Paz,LA PAZ 10
La Paz,LA PAZ 11
La Paz,LA PAZ 13
La Paz,LA PAZ 14
La Paz,LA PAZ 15
La Paz,LA PAZ 16
La Paz,LA PAZ 17
La Paz,LA PAZ 18
La Paz,LA PAZ 19
La Paz,LA PAZ 20
La Paz,LA PAZ 21
La Paz,LA PAZ 22
La Paz,LA PAZ 7
La Paz,LA PAZ 8
La Paz,LA PAZ 9
La Paz,LA PAZ Indígena La Paz
La Paz,la paz
La Paz,la paz 1
La Paz,la paz 10
La Paz,la paz 11
La Paz,la paz 12
La Paz,la paz 13
La Paz,la paz 14
La Paz,la paz 15
La Paz,la paz 16
La Paz,la paz 2
La Paz,la paz 3
La Paz,la paz 4
La Paz,la paz 5
La Paz,la paz 6
La Paz,la paz 7
La Paz,la paz 8
La Paz,la paz 9
Oruro,ORURO
Oruro,ORURO 32
Oruro,ORURO 33
Oruro,ORURO 34
Oruro,ORURO 35
Oruro,ORURO 36
Oruro,ORURO Indígena Oruro
Oruro,oruro
Oruro,oruro 1
Oruro,oruro 2
Oruro,oruro 3
Oruro,oruro 4
Oruro,oruro 5
Pando,PANDO
Pando,PANDO 66
Pando,PANDO 67
Pando,PANDO 68
Pando,PANDO Indígena Pando
Pando,pando
Pando,pando 1
Pando,pando 2
Pando,pando 3
Potosí,POTOSÍ
Potosí,POTOSÍ 37
Potosí,POTOSÍ 38
Potosí,POTOSÍ 39
Potosí,POTOSÍ 40
Potosí,POTOSÍ 41
Potosí,POTOSÍ 42
Potosí,POTOSÍ 43
Potosí,POTOSÍ 44
Potosí,POTOSÍ 45
Potosí,POTOSÍ 46
Potosí,POTOSÍ 47
Potosí,POTOSÍ 48
Potosí,POTOSÍ 49
Potosí,POTOSÍ Indígena Potosí
Potosí,potosí
Potosí,potosí 1
Potosí,potosí 2
Potosí,potosí 3
Potosí,potosí 4
Potosí,potosí 5
Potosí,potosí 6
Potosí,potosí 7
Potosí,potosí 8
Santa Cruz,SANTA CRUZ
Santa Cruz,SANTA CRUZ 50
Santa Cruz,SANTA CRUZ 51
Santa Cruz,SANTA CRUZ 52
Santa Cruz,SANTA CRUZ 53
Santa Cruz,SANTA CRUZ 54
Santa Cruz,SANTA CRUZ 55
Santa Cruz,SANTA CRUZ 56
Santa Cruz,SANTA CRUZ 57
Santa Cruz,SANTA CRUZ 58
Santa Cruz,SANTA CRUZ 59
Santa Cruz,SANTA CRUZ 60
Santa Cruz,SANTA CRUZ 69
Santa Cruz,SANTA CRUZ 70
Santa Cruz,SANTA CRUZ Indígena Santa Cruz
Santa Cruz,santa cruz
Santa Cruz,santa cruz 1
Santa Cruz,santa cruz 10
Santa Cruz,santa cruz 11
Santa Cruz,santa cruz 12
Santa Cruz,santa cruz 13
Santa Cruz,santa cruz 2
Santa Cruz,santa cruz 3
Santa Cruz,santa cruz 4
Santa Cruz,santa cruz 5
Santa Cruz,santa cruz 6
Santa Cruz,santa cruz 7
Santa Cruz,santa cruz 8
Santa Cruz,santa cruz 9
Tarija,TARIJA
Tarija,tarija
Tarija,tarija 1
Tarija,tarija 2
Tarija,tarija 3
Tarija,tarija 4
Tarija,tarija 5
