name,ideology
poder democrático y social,conservative
adn-pdc,christian democrat
Unidad Democrática y Popular,social democrat
movimiento de la izquierda revolucionaria,communist
adn-nfr-pdc,christian democrat
movimiento de la izquierda revolucionaria - nueva mayoría,communist
mnr-mrtkl,regionalist
unidad cívica solidaridad,liberal democrat
movimiento nacionalista revolucionario,regionalist
acuerdo patriótico,social democrat
Plan Progreso para Bolivia Convergencia Nacional,conservative
Movimiento Nacionalista Revolucionario,regionalist
conciencia de patria,far right
conciencia de patria movimiento patriótico,far right
movimiento al socialismo,social democrat
Movimiento Al Socialismo-Instrumento Político por la Soberanía de los Pueblos,social democrat
mnr-mbl,regionalist
acción democrática nacionalista,conservative
