ADM1,Constituency
Acre,Acre
Acre,acre
Alagoas,Alagoas
Alagoas,alagoas
Alagoas,alagoas 5
Amapá,Amapá
Amapá,amapá
Amazonas,Amazonas
Amazonas,amazonas
Bahia,Bahia
Bahia,bahia
Ceará,Ceará
Ceará,ceará
Distrito Federal,Distrito Federal
Distrito Federal,distrito federal
Espírito Santo,Espírito Santo
Espírito Santo,espirito santo
Espírito Santo,espírito santo
Goiás,Goiás
Goiás,goiás
Maranhão,Maranhão
Maranhão,maranhão
Mato Grosso,Mato Grosso
Mato Grosso,mato grosso
Mato Grosso do Sul,Mato Grosso do Sul
Mato Grosso do Sul,"m, g, do sul"
Mato Grosso do Sul,"r, g, do sul"
Minas Gerais,Minas Gerais
Minas Gerais,minas gerais
Paraná,Paraná
Paraná,paraná
Paraíba,Paraíba
Paraíba,paraíba
Pará,Pará
Pará,guanabara/dto federal
Pará,guaporé
Pará,pará
Pará,"t, guaporé (ro)"
Pernambuco,Pernambuco
Pernambuco,pernambuco
Piauí,Piauí
Piauí,piauí
Rio Grande do Norte,Rio Grande do Norte
Rio Grande do Norte,"r, g, do norte"
Rio Grande do Norte,"t, rio branco (rr)"
Rio Grande do Sul,Rio Grande do Sul
Rio Grande do Sul,rio branco
Rio de Janeiro,Rio de Janeiro
Rio de Janeiro,rio de janeiro
Rondônia,Rondônia
Rondônia,rondônia
Roraima,Roraima
Roraima,roraima
Santa Catarina,Santa Catarina
Santa Catarina,santa catarina
Sergipe,Sergipe
Sergipe,sergipe
São Paulo,São Paulo
São Paulo,são paulo
Tocantins,Tocantins
Tocantins,tocantins
