name,ideology
Partido dos Trabalhadores,social democrat
partido democrático trabalhista,social democrat
partido trabalhista brasileiro,conservative
Partido do Movimento Democrático Brasileiro,conservative
partido do movimiento democrático brasileiro,conservative
partido da social democracia brasileiro,social democrat
partido popular socialista,social democrat
Partido da Social Democracia Brasileira,social democrat
partido progressita,conservative
Partido Socialista Brasileiro,social democrat
partido democrático social,conservative
partido da reconstrucao nacional,liberal democrat
partido del frente liberal,conservative
partido social cristão,christian democrat
partido social progressista,social democrat
partido social trabalhista,social democrat
Democratas,liberal democrat
partido socialista brasileiro,social democrat
partido social democrático,social democrat
Partido Trabalhista Brasileiro,social democrat
Partido da República,liberal democrat
uniao democratica nacional,conservative
partido dos trabalhadores,social democrat
partido progressista reformador,conservative
partido democrata cristão,christian democrat
Partido Progressista,conservative
