ADM1,Constituency
Bumthang,Jomotshangkha-Martshala
Bumthang,Panbang
Chhukha,Chhoekhor-Tang
Chhukha,Chhumig-Ura
Chhukha,Chumay-Ura
Chirang,Lamgong-Wangchang
Chirang,Pataley-Tsirangtoe
Chirang,Sergithang-Tsirang Toed
Daga,Draagteng-Langthil
Daga,Gangzur-Minjay
Daga,Kabisa-Talog
Gasa,Dramedtse-Ngatshang
Gasa,Dramitse-Ngatshang
Gasa,Kanglung-Samkhar-Udzorong
Gasa,Nyishog-Saephu
Geylegphug,Gelegphu
Geylegphug,Gelephu
Ha,Athang-Thedtsho
Ha,Bartsham-Shongphu
Ha,Bji-Katsho-Uesu
Ha,Bongo Chapcha
Ha,Bongo-Chapchha
Ha,Boomdeling-Jamkhar
Ha,Bumdeling-Jamkhar
Ha,Deothang-Gomdar
Ha,Dewathang-Gomdar
Ha,Doga Shaba
Ha,Dokar-Sharpa
Ha,Dorakha-Tading
Ha,Goenkhamey-Lunana
Ha,Goenkhatoe-Laya
Ha,Kabji-Talo
Ha,Kengkhar-Weringla
Ha,Khamaed-Lunana
Ha,Khamdang-Ramjar
Ha,Khar-Yurung
Ha,Khatoed-Laya
Ha,Kikhorthang-Mendrelgang
Ha,Kilkhorthang-Mendrelgang
Ha,Lhamoy ZingkhaTrashiding
Ha,Lingmukha-Toedwang
Ha,Lingmukha-Toewang
Ha,Menbi-Tshenkhar
Ha,Nyisho-Sephu
Ha,Shompangkha
Ha,Sombaykha
Lhuntshi,Phuentshogling
Lhuntshi,Phuentshogpelri-Samtse
Lhuntshi,Phuentsholing
Mongar,Monggar
Paro,Bardo-Trong
Paro,Bji-Kar-Tshog-Uesu
Paro,Wamrong
Pemagatsel,Pagli-Samtse
Shemgang,Drakteng-Langthel
Shemgang,Drujeygang-Tseza
Shemgang,Drukjeygang-Tseza
Tashi Yangtse,Radhi-Sagteng
Tashi Yangtse,Ugentse-Yoeseltse
Tashigang,Dophuchen-Tading
Tashigang,Lhamoi Zingkha-Tashiding
Tashigang,Radhi-Sakteng
Tashigang,Tashichhoeling
Tashigang,Thrimshing
Thimphu,North Thimphu
Thimphu,Sipsu
Thimphu,South Thimphu
Tongsa,Nanong-Shumar
Tongsa,Nubi-Tangsibji
Wangdi Phodrang,Nganglam
