ADM1,Constituency
Central,AYAWASO CENTRAL
Central,BANTAMA
Central,DINGUIRAYE
Central,DUBRÉKA
Central,FOMENA
Central,KETA
Central,KOUNDARA
Central,MACENTA
Central,MALI
Central,PITA
Central,SEFWI AKONTOMBRA
Central,WA CENTRAL
Central,ablekuma central
Central,adenta
Central,amenfi central
Central,asikuma-odoben-brakwa
Central,avenor
Central,ayawaso central
Central,bantama
Central,bawku central
Central,central tongu
Central,effutu
Central,ejura-sekyedumase
Central,fomena
Central,hemang lower denkyira
Central,ho central
Central,jirapa
Central,keta
Central,nabdam
Central,navrongo central
Central,port louis south and port louis central
Central,sewfi akontombra
Central,stanley and rose hill
Central,tamale central
Central,wa central
Francistown,FANTEAKWA
Francistown,FARANAH
Francistown,FRIA
Francistown,KÉROUANÉ
Francistown,RATOMA
Francistown,TOLON
Francistown,aowin
Francistown,ayensuono
Francistown,fanteakwa
Francistown,nanton
Francistown,oforikrom
Francistown,tolon
Gaborone,ABETIFI
Gaborone,BOKÉ
Gaborone,BOLE
Gaborone,JOMORO
Gaborone,MAMOU
Gaborone,MION
Gaborone,OKERE
Gaborone,abetifi
Gaborone,abirem
Gaborone,abokobi-madina
Gaborone,akrofuom
Gaborone,akropong
Gaborone,belle rose and quatre bornes
Gaborone,berekum
Gaborone,bole bamboi
Gaborone,bongo
Gaborone,dade kotopon
Gaborone,domeabra-obom
Gaborone,effiduase-asokore
Gaborone,jomoro
Gaborone,komenda-edina-eguafo-abirem
Gaborone,mion
Gaborone,ningo-prampram
Gaborone,odododiodioo
Gaborone,okere
Gaborone,yagaba-kubori
Ghanzi,ASUOGYAMAN
Ghanzi,MANDIANA
Ghanzi,TAIN
Ghanzi,anlo
Ghanzi,asuogyaman
Ghanzi,bunkpurugu-yunyoo
Ghanzi,chiana-paga
Ghanzi,curepipe and midlands
Ghanzi,grand baie and poudre d'or
Ghanzi,gusheigu
Ghanzi,la caverne and phoenix
Ghanzi,manhyia
Ghanzi,piton and riviere du rempart
Ghanzi,prestea huni valley
Ghanzi,riviere des anguilles and souillac
Ghanzi,shai-osudoku
Ghanzi,tain
Jwaneng,ATEBUBU/AMANTING
Jwaneng,MAMPONG
Jwaneng,atebubu-amanting
Jwaneng,ejisu-juaben
Jwaneng,mahebourg and plaine magnien
Jwaneng,mampong
Kgalagadi,BEYLA
Kgalagadi,DABOLA
Kgalagadi,DALABA
Kgalagadi,DIXIN
Kgalagadi,GAOUAL
Kgalagadi,KALOUM
Kgalagadi,KINDIA
Kgalagadi,LABÉ
Kgalagadi,MATAM
Kgalagadi,ada
Kgalagadi,atwima nwabiagya
Kgalagadi,karaga
Kgalagadi,kpandai
Kgalagadi,lawra
Kgalagadi,nalerigu-gambaga
Kgalagadi,salaga
Kgalagadi,takoradi
Kgatleng,EVALUE GWIRA
Kgatleng,TÉLIMÉLÉ
Kgatleng,akan
Kgatleng,bolgatanga
Kgatleng,evalue gwira
Kgatleng,garu-tempane
Kgatleng,kade
Kgatleng,kpone-katamanso
Kgatleng,talensi
Kgatleng,yendi
Kgatleng,zabzugu-tatale
Kweneng,KANKAN
Kweneng,SENE
Kweneng,WULENSI
Kweneng,dome-kwabenya
Kweneng,kumawu
Kweneng,kumbungu
Kweneng,nsuta kwamang
Kweneng,sene
Kweneng,wenchi
Kweneng,wulensi
Lobatse,BIA
Lobatse,BIAKOYE
