ADM1,Constituency
Alberta,albert
Alberta,alberta (provisional district)
Alberta,algoma
Alberta,ancaster--dundas--flamborough--aldershot
Alberta,annapolis valley
Alberta,argenteuil--papineau--mirabel
Alberta,battle river
Alberta,battle river--camrose
Alberta,battleford
Alberta,battlefords--lloydminster
Alberta,beauharnois--salaberry
Alberta,beauport
Alberta,bellechasse
Alberta,berthier
Alberta,bramalea--gore--malton
Alberta,bramalea--gore--malton--springdale
Alberta,brampton--georgetown
Alberta,bras d'or--cape breton
Alberta,burnaby
Alberta,calgary
Alberta,calgary centre
Alberta,calgary centre-north
Alberta,calgary east
Alberta,calgary northeast
Alberta,calgary west
Alberta,cape breton
Alberta,cape breton--the sydneys
Alberta,carleton
Alberta,carleton--charlotte
Alberta,carleton--gloucester
Alberta,carleton--lanark
Alberta,carleton--mississippi mills
Alberta,cartier
Alberta,chambly--borduas
Alberta,chambly--rouville
Alberta,chambly--verchÈres
Alberta,charlesbourg
Alberta,charleswood--assiniboine
Alberta,charlevoix
Alberta,charlevoix--saguenay
Alberta,chatham-kent--essex
Alberta,churchill river
Alberta,comox--alberni
Alberta,comox--powell river
Alberta,cumberland--colchester--musquodoboit valley
Alberta,danforth
Alberta,dartmouth
Alberta,dartmouth--halifax east
Alberta,davenport
Alberta,desnethÉ--missinippi--churchill river
Alberta,dewdney--alouette
Alberta,digby--yarmouth
Alberta,dufferin--caledon
Alberta,durham
Alberta,duvernay
Alberta,edmonton--st. albert
Alberta,esquimalt--juan de fuca
Alberta,esquimalt--saanich
Alberta,fleetwood--port kells
Alberta,fraser valley
Alberta,fraser valley east
Alberta,gander--twillingate
Alberta,grenville--carleton
Alberta,haldimand--norfolk--brant
Alberta,haliburton--kawartha lakes--brock
Alberta,haliburton--victoria--brock
Alberta,halifax
Alberta,halifax west
Alberta,halton
Alberta,halton--peel
Alberta,halton--wentworth
Alberta,hillsborough
Alberta,hull--aylmer
Alberta,humboldt--melfort
Alberta,jeanne-le ber
Alberta,kenora
Alberta,king's and albert
Alberta,labelle
Alberta,lake st-john--roberval
Alberta,lambton--kent--middlesex
Alberta,lambton--middlesex
Alberta,lanark--carleton
Alberta,lanark--renfrew--carleton
Alberta,langelier
Alberta,langley
Alberta,lasalle
Alberta,lasalle--Émard
Alberta,lasalle--Émard--cÔte saint-paul
Alberta,laurier
Alberta,laval centre
Alberta,laval--les Îles
Alberta,laval-des-rapides
Alberta,leeds north and grenville north
Alberta,lennox
Alberta,longueuil--pierre-boucher
Alberta,lotbiniÈre
Alberta,lotbiniÈre--l'Érable
Alberta,louis-hÉbert
Alberta,lunenburg
Alberta,lÉvis--bellechasse
Alberta,macleod
Alberta,maple creek
Alberta,markham
Alberta,markham--whitchurch-stouffville
Alberta,melfort
Alberta,melville
Alberta,middlesex north
Alberta,middlesex--kent--lambton
Alberta,mississauga east
Alberta,mississauga north
Alberta,mississauga west
Alberta,mississauga--erindale
Alberta,montreal centre
Alberta,montreal east
Alberta,montreal west
Alberta,montreal--mercier
Alberta,moose jaw--lake centre
Alberta,nanaimo--alberni
Alberta,nepean--carleton
Alberta,niagara
Alberta,niagara falls
Alberta,nickel belt
Alberta,nicolet--yamaska
Alberta,oakville
Alberta,ottawa--carleton
Alberta,palliser
Alberta,parkdale--high park
Alberta,perth
Alberta,portage--interlake
Alberta,portage--neepawa
Alberta,restigouche--chaleur
Alberta,richmond--arthabaska
Alberta,roberval
Alberta,roberval--lac-saint-jean
Alberta,rosedale
Alberta,sackville--musquodoboit valley--eastern shore
Alberta,saint-bruno--saint-hubert
Alberta,saint-hubert
Alberta,saint-lambert
Alberta,saltcoats
Alberta,scarborough east
Alberta,scarborough west
Alberta,scarborough--guildwood
Alberta,selkirk--interlake
Alberta,shelburne--yarmouth
Alberta,skeena--bulkley valley
Alberta,south surrey--white rock--cloverdale
Alberta,st. albert
Alberta,st. john--albert
Alberta,st. johns--iberville
Alberta,st. johns--iberville--napierville
Alberta,swift current--maple creek
Alberta,swift current--maple creek--assiniboia
Alberta,the battlefords--meadow lake
Alberta,timmins--chapleau
Alberta,victoria--carleton
Alberta,victoria--haliburton
Alberta,waterloo--wellington
Alberta,wellington--grey--dufferin--waterloo
Alberta,wentworth north and brant
Alberta,windsor--walkerville
Alberta,yale
Alberta,yale--cariboo
Alberta,yarmouth
British Columbia,abbotsford
British Columbia,argenteuil--mirabel
British Columbia,beauport--limoilou
British Columbia,british columbia southern interior
British Columbia,brome--missisquoi
British Columbia,burlington
British Columbia,cambridge
British Columbia,chicoutimi
British Columbia,comox--atlin
British Columbia,dartmouth--cole harbour
British Columbia,fort william
British Columbia,hastings south
British Columbia,high park
British Columbia,kootenay--columbia
British Columbia,lincoln
British Columbia,lisgar
British Columbia,middlesex south
British Columbia,mississauga
British Columbia,pembina
British Columbia,perth south
British Columbia,perth--middlesex
British Columbia,perth--wilmot
British Columbia,pictou
British Columbia,port moody--coquitlam
British Columbia,port moody--westwood--port coquitlam
British Columbia,richmond--wolfe
British Columbia,rimouski--mitis
British Columbia,rimouski--tÉmiscouata
British Columbia,shelburne
British Columbia,shelburne--yarmouth--clare
British Columbia,st. croix--belleisle
British Columbia,strathcona
British Columbia,thornhill
British Columbia,timiskaming
British Columbia,timmins
British Columbia,timmins--james bay
British Columbia,tÉmiscamingue
British Columbia,tÉmiscouata
British Columbia,victoria city
British Columbia,wright
Manitoba,abitibi
Manitoba,abitibi--tÉmiscamingue
Manitoba,acadie--bathurst
Manitoba,addington
Manitoba,algoma--manitoulin
Manitoba,algoma--manitoulin--kapuskasing
Manitoba,annapolis valley--hants
Manitoba,assiniboia
Manitoba,athabasca
Manitoba,athabaska
Manitoba,beausÉjour--petitcodiac
Manitoba,brampton--malton
Manitoba,brant
Manitoba,brant north
Manitoba,brantford city
Manitoba,cape breton highlands--canso
Manitoba,cape breton--canso
Manitoba,charlesbourg--haute-saint-charles
Manitoba,cornwall and stormont
Manitoba,digby
Manitoba,elmwood--transcona
Manitoba,fort mcmurray--athabasca
Manitoba,glengarry and stormont
Manitoba,grand falls--white bay
Manitoba,haldimand--norfolk
Manitoba,hamilton
Manitoba,hamilton centre
Manitoba,hamilton east
Manitoba,hamilton east--stoney creek
Manitoba,hamilton south
Manitoba,hamilton west
Manitoba,hamilton--wentworth
Manitoba,hants
Manitoba,haute-gaspÉsie--la mitis--matane--matapÉdia
Manitoba,hochelaga--maisonneuve
Manitoba,kent
Manitoba,lac-saint-jean--saguenay
Manitoba,lac-saint-louis
Manitoba,lachine--lac-saint-louis
Manitoba,lambton east
Manitoba,laurier--sainte-marie
Manitoba,louis-saint-laurent
Manitoba,macdonald
Manitoba,mackenzie
Manitoba,mackenzie river
Manitoba,maisonneuve
Manitoba,maisonneuve--rosemont
Manitoba,manicouagan
Manitoba,matane
Manitoba,matapÉdia--matane
Manitoba,meadow lake
Manitoba,miramichi
Manitoba,moose jaw
Manitoba,mÉgantic
Manitoba,mÉgantic--l'Érable
Manitoba,norfolk--haldimand
Manitoba,oakville--milton
Manitoba,okanagan--similkameen--merritt
Manitoba,oshawa--whitby
Manitoba,royal
Manitoba,saint boniface
Manitoba,saint john--lancaster
Manitoba,saint-hyacinthe
Manitoba,saint-hyacinthe--bagot
Manitoba,saint-jean--iberville--napierville
Manitoba,sarnia
Manitoba,sault ste. marie
Manitoba,spadina
Manitoba,st. antoine--westmount
Manitoba,st. hyacinthe--bagot
Manitoba,sydney--victoria
Manitoba,verdun--saint-henri--saint-paul--pointe saint-charles
Manitoba,verdun--saint-paul
Manitoba,whitby--ajax
Manitoba,whitby--oshawa
Manitoba,winnipeg--assiniboine
New Brunswick,ahuntsic
New Brunswick,brampton centre
New Brunswick,brant--wentworth
New Brunswick,broadview--greenwood
New Brunswick,brockville
New Brunswick,bruce
New Brunswick,bruce north
New Brunswick,bruce south
New Brunswick,bruce west
New Brunswick,bruce--grey
New Brunswick,burin--burgeo
New Brunswick,burnaby--new westminster
New Brunswick,etobicoke north
New Brunswick,grenville
New Brunswick,grey--bruce
New Brunswick,grey--bruce--owen sound
New Brunswick,grey--simcoe
New Brunswick,inverness
New Brunswick,inverness--richmond
New Brunswick,leeds--grenville
New Brunswick,new brunswick southwest
New Brunswick,new westminster--burnaby
New Brunswick,new westminster--coquitlam
