ADM1,Constituency
Aargau,aargau
Appenzell Ausserrhoden,appenzell ausser-rhoden
Appenzell Innerrhoden,appenzell inner-rhoden
Basel-Landschaft,basel land
Basel-Stadt,basel stadt
Bern,bern
Fribourg,freiburg-fribourg
Genève,genève
Glarus,glarus
Graubünden,graubünden-grigioni
Jura,jura
Lucerne,luzern
Neuchâtel,neuchâtel
Nidwalden,nidwalden
Obwalden,obwalden
Sankt Gallen,st. gallen
Schaffhausen,schaffausen
Schwyz,schwyz
Solothurn,solothurn
Thurgau,thurgau
Ticino,ticino
Uri,uri
Valais,wallis-valais
Vaud,vaud
Zug,zug
Zürich,zürich
