name,ideology
gemässigte konservative,conservative
gruppe der demokraten,conservative
katholische konservative,christian democrat
konservativ-christlich soziale partei,christian democrat
landesring der unabhängigen,liberal-socialist
liberal-demokratische partei,liberal democrat
liberal-konservative,liberal democrat
liberale partei der schweiz,liberal democrat
other parties,liberal democrat
partei der arbeit der schweiz,social democrat
radicaux dissidents,far right
"schweizerische bauern-, gewerbe- und bürgerpartei",liberal democrat
schweizerische christlich demokratische volkspartei,christian democrat
schweizerische freisinnig-demokratische partei,liberal democrat
schweizerische konservative volkspartei,conservative
schweizerische volkspartei,christian democrat
sozialdemokratische partei der schweiz,social democrat
sozialpolitische gruppe,social democrat
