ADM1,Constituency
Adamaoua,aburi-nsawam
Adamaoua,ada
Adamaoua,akim oda
Adamaoua,akrofuom
Adamaoua,akwatia
Adamaoua,asawase
Adamaoua,ashiaman
Adamaoua,asokwa
Adamaoua,atwima mponua
Adamaoua,atwima nwabiagya
Adamaoua,bantama
Adamaoua,chiana-paga
Adamaoua,damongo-daboya
Adamaoua,domeabra-obom
Adamaoua,ejura-sekyedumase
Adamaoua,kade
Adamaoua,karaga
Adamaoua,kpone-katamanso
Adamaoua,kumawu
Adamaoua,kwadaso
Adamaoua,mampong
Adamaoua,manhyia
Adamaoua,nabdam
Adamaoua,nalerigu-gambaga
Adamaoua,nkawkaw
Adamaoua,saboba
Adamaoua,salaga
Adamaoua,sawla-kalba
Adamaoua,shama
Centre,ablekuma central
Centre,amenfi central
Centre,asikuma-odoben-brakwa
Centre,atebubu-amanting
Centre,ayawaso central
Centre,bawku central
Centre,bosome-freho
Centre,ellembelle
Centre,fanteakwa
Centre,garu-tempane
Centre,ho central
Centre,navrongo central
Centre,new edubiase
Centre,okere
Centre,sege
Centre,tamale central
Centre,wa central
Centre,wenchi
Est,abura-asebu-kwamankese
Est,adenta
Est,afigya sekyere west
Est,agona east
Est,agona west
Est,ahanta west
Est,ajumako-enyan-essiam
Est,amansie west
Est,amenfi west
Est,asutifi south
Est,ayawaso east
Est,ayensuono
Est,bekwai
Est,district 1
Est,district 10
Est,district 11
Est,district 12
Est,district 13
Est,district 14
Est,district 15
Est,district 16
Est,district 17
Est,district 18
Est,district 19
Est,district 2
Est,district 21
Est,district 22
Est,district 23
Est,district 24
Est,district 25
Est,district 26
Est,district 27
Est,district 3
Est,district 30
Est,district 31
Est,district 32
Est,district 33
Est,district 34
Est,district 35
Est,district 36
Est,district 37
Est,district 39
Est,district 4
Est,district 40
Est,district 41
Est,district 42
Est,district 43
Est,district 44
Est,district 5
Est,district 6
Est,district 7
Est,district 8
Est,dorma west
Est,dormaa east
Est,effia kwesimintsim
Est,effutu
Est,essikado-ketan
Est,gomoa east
Est,gomoa west
Est,ho west
Est,hohoe south
Est,juabeso
Est,keta
Est,ketu south
Est,krachi west
Est,kwabre east
Est,lower west akim
Est,mfantseman east
Est,mfantseman west
Est,mpraeso
Est,nadowli east
Est,nadowli west
Est,nsuta kwamang
Est,prestea huni valley
Est,sefwi wiawso
Est,sissala east
Est,sunyani east
Est,sunyani west
Est,talensi
Est,tamale south
Est,tema east
Est,tema west
Est,upper denkyira east
Est,upper west akim
Est,wa west
Est,wulensi
Est,zebilla
Extrême-Nord,fomena
Extrême-Nord,mion
Littoral,atiwa
Littoral,bia
Littoral,bimbilla
Littoral,evalue gwira
Littoral,jirapa
Littoral,klottey-korle
Littoral,lawra
Littoral,lower manya krobo
Littoral,ningo-prampram
Littoral,sewfi akontombra
Littoral,twifo-atti morkwaa
Littoral,walewale
Littoral,weija
Littoral,yilo krobo
Nord,ablekuma north
Nord,adansi asokwa north
Nord,afram plains north
Nord,anlo
Nord,asante akim north
Nord,assin north
Nord,asunafo north
Nord,asutifi north
Nord,avenor
Nord,bongo
Nord,builsa north
Nord,bunkpurugu-yunyoo
Nord,hohoe north
Nord,jaman north
Nord,kintampo north
Nord,komenda-edina-eguafo-abirem
Nord,kpandai
Nord,krowor
Nord,mpohor wassa
Nord,nanton
Nord,new juaben north
Nord,nkoranza north
Nord,nkoranza south
Nord,nkwanta north
Nord,north dayi
Nord,north tongu
Nord,odododiodioo
Nord,odotobri
Nord,offinso north
Nord,oforikrom
Nord,okaikwei north
Nord,old tafo
Nord,sekondi
Nord,takoradi
Nord,tamale north
Nord,tano north
Nord,techiman north
Nord,yendi
Nord-Ouest,bole bamboi
Nord-Ouest,jomoro
Ouest,assin south
Ouest,bibiani-anhwiaso bekwai
Ouest,bolgatanga
Ouest,bosomtwe
Ouest,builsa south
Ouest,gusheigu
Ouest,ho east
Ouest,ledzokuku
Ouest,obuasi
Ouest,offinso south
Ouest,ofoase-ayirebi
Ouest,pusiga
Ouest,yapei-kusawgu
Sud,ablekuma south
Sud,akim abuakwa south
Sud,asunafo south
Sud,asuogyaman
Sud,ejisu-juaben
Sud,kintampo south
Sud,kumbungu
Sud,new juaben south
Sud,okaikwei south
Sud,savelugu
Sud,shai-osudoku
Sud,south dayi
Sud,south tongu
Sud,suaman
Sud,subin
Sud,suhum
Sud,tarkwa nsuaem
Sud,techiman south
Sud-Ouest,awutu-senya
Sud-Ouest,dade kotopon
