ADM1,Constituency
Amazonas,AMAZONAS
Amazonas,amazonas
Antioquia,ANTIOQUIA
Antioquia,antioquia
Arauca,ARAUCA
Arauca,arauca
Atlántico,ATLÁNTICO
Atlántico,atlantico
Bogota,bogota
Bolívar,BOLÍVAR
Bolívar,bolivar
Boyacá,BOYACÁ
Boyacá,boyaca
Caldas,CALDAS
Caldas,caldas
Caquetá,CAQUETÁ
Caquetá,caqueta
Caquetá,casqueta
Casanare,CASANARE
Casanare,casanare
Cauca,CAUCA
Cauca,cauca
Cesar,CESAR
Cesar,cesar
Chocó,CHOCO
Chocó,choco
Cundinamarca,CUNDINAMARCA
Cundinamarca,cundinamarca
Córdoba,CÓRDOBA
Córdoba,cordoba
Guainía,GUAINIA
Guainía,guainia
Guaviare,GUAVIARE
Guaviare,guaviare
Huila,HUILA
Huila,huila
La Guajira,LA GUAJIRA
La Guajira,la guajira
Magdalena,MAGDALENA
Magdalena,magdalena
Meta,META
Meta,meta
Nariño,DISTRITO
Nariño,NARIÑO
Nariño,nariÑo
Norte de Santander,NORTE DE SANTANDER
Norte de Santander,norte de santander
Putumayo,PUTUMAYO
Putumayo,putumayo
Quindío,QUINDIO
Quindío,quindio
Risaralda,RISARALDA
Risaralda,risaralda
San Andrés y Providencia,SAN ANDRES
San Andrés y Providencia,san andres
San Andrés y Providencia,san andres y providencia
Santander,SANTANDER
Santander,santander
Sucre,SUCRE
Sucre,sucre
Tolima,TOLIMA
Tolima,tolima
Valle del Cauca,VALLE
Valle del Cauca,valle
Vaupés,VAUPES
Vaupés,vaupes
Vichada,VICHADA
Vichada,vichada
