name,ideology
movimiento de integracion regional,regionalist
Partido Liberal Colombiano,liberal-socialist
huila nuevo y liberalismo,liberal democrat
partido social de unidad nacional,liberal democrat
coalicion,liberal-socialist
Partido Cambio Radical,liberal democrat
movimiento de participacion popular,social democrat
Partido Social De Unidad Nacional,liberal democrat
movimiento alas equipo colombia,conservative
movimiento nacional progresista,social democrat
partido conservador colombiano,conservative
partido liberal colombiano,liberal-socialist
Partido De Integración Nacional,conservative
movimiento alianza social indigena,social democrat
Partido Conservador Colombiano,conservative
movimiento apertura liberal,liberal democrat
movimiento convergencia ciudadana,conservative
partido cambio radical,liberal democrat
partido de accion social,social democrat
