ADM1,Constituency
Boa Vista,BOBASI
Boa Vista,BOFFA
Boa Vista,BOKÉ
Boa Vista,PITA
Boa Vista,district 20
Boa Vista,kitui east
Boa Vista,kitutu east
Boa Vista,vihiga
Brava,DUBRÉKA
Brava,EMBAKASI  WEST
Brava,NAVAKHOLO
Brava,TAVETA
Brava,bahati
Brava,embakasi
Brava,nyandarua north/aberdares
Brava,ruwamba
Brava,turkana  north
Brava,turkana south
Maio,IKOLOMANI
Maio,LIKUYANI
Maio,MALI
Maio,MAMOU
Maio,MANDIANA
Maio,MASINGA
Maio,MATUNGU
Maio,emuhaya
Maio,homa  bay
Maio,ikolomani
Maio,kajiado
Maio,kangema
Maio,kitui north
Maio,machakos  west
Maio,machakos north
Maio,majoge-bassi
Maio,malindi south
Maio,mathira
Maio,narok west
Maio,othaya/south tetu
Mosteiros,MBOONI
Mosteiros,MOGOTIO
Mosteiros,MT ELGON
Mosteiros,butere
Mosteiros,kericho  east
Mosteiros,machakos east
Mosteiros,mount  elgon
Paul,CHEPALUNGU
Paul,FUNYULA
Paul,kasipul-kabondo
Paul,nakuru east
Paul,nakuru town
Porto Novo,DAGORETTI NORTH
Porto Novo,ISIOLO NORTH
Porto Novo,N'ZÉRÉKORÉ
Praia,FORÉCARIAH
Praia,KAJIADO WEST
Praia,KURIA EAST
Praia,LAIKIPIA EAST
Praia,githunguri
Praia,kuria
Praia,laikipia-nanyuki
Praia,nyaribari
Ribeira Grande,gatundu-thika
Ribeira Grande de Santiago,BEYLA
Ribeira Grande de Santiago,DINGUIRAYE
Ribeira Grande de Santiago,EMURUA  DIKIRR
Ribeira Grande de Santiago,GATUNDU  NORTH
Ribeira Grande de Santiago,KOUBIA
Ribeira Grande de Santiago,NDHIWA
Ribeira Grande de Santiago,WEBUYE  EAST
Ribeira Grande de Santiago,WUNDANYI
Ribeira Grande de Santiago,elgon east
Ribeira Grande de Santiago,elgon west
Ribeira Grande de Santiago,nyeri
Ribeira Grande de Santiago,parklands
Ribeira Grande de Santiago,tinderet
Ribeira Grande de Santiago,wundanyi
Sal,DALABA
Sal,JUJA
Sal,KALOUM
Sal,KISAUNI
Sal,KOUROUSSA
Sal,ROYSAMBU
Sal,SAMBURU  NORTH
Sal,SHINYALU
Sal,SUBA
Sal,WESTLANDS
Sal,alego
Sal,elgon central
Sal,kisumu rural
Sal,kitui central
Sal,kwale east
Sal,machakos central
Sal,marsabit-moyale
Sal,meru central
Sal,mombasa central
Sal,mombasa north
Sal,mombasa south
Sal,starehe
Santa Catarina,baringo east
Santa Catarina do Fogo,GARSEN
Santa Catarina do Fogo,IJARA
Santa Catarina do Fogo,KAITI
Santa Catarina do Fogo,KANGUNDO
Santa Catarina do Fogo,KANKAN
Santa Catarina do Fogo,KINDIA
Santa Catarina do Fogo,MACENTA
Santa Catarina do Fogo,MATHARE
Santa Catarina do Fogo,TONGAREN
Santa Catarina do Fogo,YATTA
Santa Catarina do Fogo,aldai
Santa Catarina do Fogo,baringo north
Santa Catarina do Fogo,bondo
Santa Catarina do Fogo,kandara
Santa Catarina do Fogo,karachuonyo
Santa Catarina do Fogo,langata
Santa Catarina do Fogo,mathare
Santa Catarina do Fogo,narok
Santa Catarina do Fogo,nyando
Santa Catarina do Fogo,taveta-voi
Santa Catarina do Fogo,west  pokot
Santa Catarina do Fogo,yatta
Santa Cruz,meru  west
São Domingos,HAMISI
São Domingos,MWINGI NORTH
São Domingos,MWINGI WEST
São Domingos,SOUTH MUGIRANGO
São Domingos,baringo south
São Domingos,hamisi
São Domingos,machakos  south
São Domingos,mumias
São Domingos,north mugirango
São Domingos,uasin gishu
São Domingos,wanjare s.mugirango
São Filipe,KILOME
São Filipe,kilifi north
São Filipe,kilifi south
São Filipe,kitui  south
São Filipe,lambwe
São Lourenço dos Órgãos,LÉLOUMA
São Lourenço dos Órgãos,NAROK SOUTH
São Lourenço dos Órgãos,buret
São Lourenço dos Órgãos,isiolo
São Lourenço dos Órgãos,limuru
São Lourenço dos Órgãos,rendille
São Lourenço dos Órgãos,ugenya
São Miguel,ELDAS
São Miguel,KIKUYU
São Miguel,KITUTU CHACHE  NORTH
São Miguel,SIGUIRI
São Miguel,TOUGUÉ
São Miguel,UGUNJA
São Miguel,YOUMOU
São Miguel,bomet
São Miguel,elgon southwest
São Miguel,embu north
São Miguel,kigumo
São Miguel,kikuyu
São Miguel,kisumu town
São Miguel,meru south
São Miguel,nyambene south
São Salvador do Mundo,GUÉCKÉDOU
São Salvador do Mundo,KOUNDARA
São Salvador do Mundo,KÉROUANÉ
São Salvador do Mundo,LABÉ
São Vicente,TESO SOUTH
São Vicente,nyambene north
Tarrafal,FARANAH
Tarrafal,tharaka
Tarrafal de São Nicolau,ALEGO USONGA
Tarrafal de São Nicolau,COYAH
Tarrafal de São Nicolau,LOLA
Tarrafal de São Nicolau,belgut
Tarrafal de São Nicolau,lamu
