name,ideology
Partido Africano da Independência de Cabo Verde,social democrat
partido africano da independência de cabo verde,social democrat
Partido Social Democrático,social democrat
uniatildeo caboverdiana independente e democraacutetica,conservative
movimento para a democracia,liberal democrat
partido da convergência democrática,liberal democrat
partido social democráta,social democrat
partido da renovação democrática,liberal democrat
União Caboverdiana Independente e Democrática,conservative
Movimento para a Democracia,liberal democrat
Partido do Trabalho e Solidariedade,social democrat
