ADM1,Constituency
Jihomoravský,jiho-moravský kraj
Jihomoravský,severo-moravský kraj
Jihočeský,jiho-ceský kraj
Karlovarský,karlovarský kraj
Královéhradecký,královéhradecký kraj
Liberecký,liberecký kraj
Moravskoslezský,moravskoslezský kraj
Olomoucký,olomoucký kraj
Olomoucký,východo-ceský kraj
Pardubický,pardubický kraj
Pardubický,západo-ceský kraj
Plzeňský,plzenský kraj
Prague,hlavní mesto praha
Prague,praha kraj
Středočeský,severo-ceský
Středočeský,stredo-ceský kraj
Vysočina,kraj vysocina
Zlínský,zlínský kraj
Ústecký,Ústecký kraj
