ADM1,Constituency
Nordrhein-Westfalen,aachen
Nordrhein-Westfalen,aachen land
Nordrhein-Westfalen,aachen stadt
Nordrhein-Westfalen,aachen-land
Nordrhein-Westfalen,aachen-stadt
Nordrhein-Westfalen,eupen-aachen
Nordrhein-Westfalen,stadt aachen
Baden-Württemberg,aalen
Baden-Württemberg,aalen - heidenheim
Baden-Württemberg,aalen-heidenheim
Rheinland-Pfalz,ahrweiler
Rheinland-Pfalz,mayen-ahrweiler
Sachsen-Anhalt,altmark
Bayern,altoetting
Bayern,altötting
Bayern,amberg
Bayern,amberg-neumarkt in der oberpfalz
Sachsen-Anhalt,anhalt
Sachsen-Anhalt,sachsen-anhalt
Bayern,ansbach
Bayern,ansbach-schwabach
Bayern,aschaffenburg
Bayern,augsburg-land
Bayern,augsburg
Bayern,augsburg-stadt
Niedersachsen,aurich - emden
Niedersachsen,"aurich, osnabrücke, oldenburg"
Niedersachsen,aurich-emden
Niedersachsen,esens-aurich-stadt papenburg
Baden-Württemberg,backnang
Baden-Württemberg,backnang - schwäbisch gmünd
Baden-Württemberg,backnang-schwäbisch gmünd
Baden-Württemberg,schwäbisch-gmünd-backnang
Mecklenburg-Vorpommern,bad doberan - güstrow - müritz
Mecklenburg-Vorpommern,guestrow
Mecklenburg-Vorpommern,güstrow
Mecklenburg-Vorpommern,güstrow-ribnitz
Bayern,bad kissingen
Bayern,bamberg
Sachsen,bautzen - weißwasser
Sachsen,bautzen i
Sachsen,bautzen-kamenz
Sachsen,brautzen
Sachsen,dresden-bautzen
Bayern,bayreuth
Bayern,beyreuth
Hessen,bergstrasse
Hessen,bergstrasse-heppenheim
Hessen,bergstraße
Berlin,berlin-charlottenburg
Berlin,berlin-charlottenburg - wilmersdorf
Berlin,berlin-friedrichshain
Berlin,berlin-friedrichshain - kreuzberg - prenzlauer berg ost
Berlin,berlin-friedrichshain - kreuzberg - prenzlauer berg-ost
Berlin,prenzlau
Berlin,berlin-lichtenberg
Berlin,berlin-marzahn - hellersdorf
Berlin,berlin
Berlin,berlin v
Berlin,berlin-hellersdorf
Berlin,berlin-hohenschönhausen
Berlin,berlin-mitte
Berlin,berlin-riedrichshain
Berlin,berlin-neukölln
Berlin,berlin-pankow
Berlin,berlin iv
Berlin,berlin vi
Berlin,berlin-köpenik
Berlin,berlin-reinickendorf
Berlin,berlin-kreuzberg
Berlin,berlin-köpenick
Berlin,berlin-spandau
Berlin,berlin-spandau - charlottenburg nord
Berlin,berlin-spandau - charlottenburg-nord
Berlin,berlin-tiergarten
Berlin,berlin-zehlendorf
Berlin,berlin-steglitz - zehlendorf
Berlin,berlin-tempelhof
Berlin,berlin-tempelhof - schöneberg
Berlin,berlin-treptow - köpenick
Baden-Württemberg,biberach
Baden-Württemberg,biberach-leutkirch
Nordrhein-Westfalen,bielefeld
Nordrhein-Westfalen,bielefeld-land
Nordrhein-Westfalen,bielefeld-stadt
Nordrhein-Westfalen,bielefeld-wiedenbrück
Nordrhein-Westfalen,bitterfeld-delizsch
Rheinland-Pfalz,bitburg
Rheinland-Pfalz,bittburg
Rheinland-Pfalz,daun-prüm-bitburg
Nordrhein-Westfalen,bochum
Nordrhein-Westfalen,bochum i
Nordrhein-Westfalen,bochum ii
Nordrhein-Westfalen,bochum iii
Nordrhein-Westfalen,bochum-witten
Baden-Württemberg,bodensee
Baden-Württemberg,ravensburg - bodensee
Baden-Württemberg,ravensburg-bodensee
Nordrhein-Westfalen,bonn
Nordrhein-Westfalen,bonn stadt und land
Nordrhein-Westfalen,rheinbach-bonn
Nordrhein-Westfalen,siegkreis i-bonn-land
Nordrhein-Westfalen,borken ii
Nordrhein-Westfalen,borken-bocholt-ahaus
Nordrhein-Westfalen,borken-recklingshausen
Nordrhein-Westfalen,bottrop
Nordrhein-Westfalen,bottrop - recklinghausen iii
Nordrhein-Westfalen,bottrop-gladbeck
Nordrhein-Westfalen,bottrop-recklinghasen iv
Nordrhein-Westfalen,gladbeck-bottrop
Brandenburg,brandenburg an der havel - potsdam-mittelmark i - havelland iii - teltow-fläming
Niedersachsen,braunschweig
Niedersachsen,braunschweig land helmstedt
Niedersachsen,braunschweig-blankenburg
Niedersachsen,braunschwieg
Niedersachsen,stadt braunschweig
Niedersachsen,südhannover-brauschweig
Bremen,bremen
Bremen,bremen i
Bremen,bremen ii - bremerhaven
Bremen,bremen-ost
Bremen,bremen-west
Bremen,bremerhaven-bremen-nord
Baden-Württemberg,bruchsal
Baden-Württemberg,bruchsal - schwetzingen
Sachsen-Anhalt,burgenland
Sachsen-Anhalt,burgenland - saalekreis
Baden-Württemberg,balingen
Baden-Württemberg,balingen-rottweil
Baden-Württemberg,böblingen
Baden-Württemberg,böblingen-leonberg
Baden-Württemberg,nürtingen-böblingen
Sachsen-Anhalt,börde
Sachsen-Anhalt,börde - jerichower land
Baden-Württemberg,calw
Baden-Württemberg,calw-herrenberg
Niedersachsen,celle
Niedersachsen,celle - uelzen
Niedersachsen,celle-uelzen
Niedersachsen,celle-Ülzen
Niedersachsen,gartow-uelzen
Niedersachsen,Ülzen
Sachsen,chemnitz
Sachsen,chemnitz i
Sachsen,chemnitz ii
Sachsen,chemnitz-zwickau
Sachsen,chemnitzer land - stollberg
Sachsen,chemnitzer umland - erzgebirgskreis ii
Niedersachsen,cloppenburg
Niedersachsen,cloppenburg - vechta
Niedersachsen,cloppenburg-vechta
Niedersachsen,vechta-cloppenburg
Bayern,coburg
Bayern,koburg
Nordrhein-Westfalen,coesfeld - steinfurt ii
Nordrhein-Westfalen,coesfeld-steinfurt i
Nordrhein-Westfalen,cösfeld-steinfurt i
Nordrhein-Westfalen,steinfurt-coesfeld
Brandenburg,cottbus
Brandenburg,cottbus - spree-neiße
Niedersachsen,cuxhaven
Niedersachsen,cuxhaven - osterholz
Niedersachsen,cuxhaven - stade ii
Niedersachsen,stade
Niedersachsen,stade - cuxhaven
Brandenburg,dahme-spreewald - teltow-fläming iii - oberspreewald-lausitz i
Hessen,darmstadt
Hessen,darmstadt stadt und land
Hessen,darmstadt-gr.-gerau
Hessen,hessen-darmstadt
Bayern,deggendorf
Niedersachsen,delmenhorst
Niedersachsen,delmenhorst - wesermarsch - oldenburg-land
Niedersachsen,delmenhorst-wesermarsch
Sachsen-Anhalt,dessau
Sachsen-Anhalt,dessau - wittenberg
Sachsen-Anhalt,dessau-zerbst
Sachsen-Anhalt,schweinitz-wittenberg
Sachsen-Anhalt,wittenberg
Niedersachsen,diepholz
Niedersachsen,diepholz - nienburg i
Niedersachsen,melle-diepholz
Niedersachsen,nienburg
Bayern,donau-ries
Nordrhein-Westfalen,dortmund
Nordrhein-Westfalen,dortmund i
Nordrhein-Westfalen,dortmund iii-lünen
Nordrhein-Westfalen,dortmund ii
Nordrhein-Westfalen,dortmund iii
Sachsen,dresden i
Sachsen,dresden ii
Sachsen,bautzen-löbau
Sachsen,dresden ii - bautzen ii
Nordrhein-Westfalen,duisburg
Nordrhein-Westfalen,duisburg i
Nordrhein-Westfalen,dusiburg i
Nordrhein-Westfalen,duisburg ii
Nordrhein-Westfalen,düren
Nordrhein-Westfalen,düren-jülich
Nordrhein-Westfalen,düren-monschau-schleiden
Nordrhein-Westfalen,düsseldorf i
Nordrhein-Westfalen,düsseldorf-west
Nordrhein-Westfalen,düsseldorf ii
Nordrhein-Westfalen,düsseldorf iii
Thüringen,eichsfeld - nordhausen
Thüringen,eichsfeld - nordhausen - unstrut-hainich-kreis i
Thüringen,eichsfeld - nordhausen - unstrut-hainich-kreis ii
Thüringen,nordhausen
Thüringen,eisenach
Thüringen,eisenach - wartburgkreis - unstrut-hainich-kreis i
Thüringen,eisenach - wartburgkreis - unstrut-hainich-kreis ii
Brandenburg,elbe-elster - oberspreewald-lausitz ii
Brandenburg,elbe-havel
Baden-Württemberg,emmedingen-lahr
Baden-Württemberg,emmendingen
Baden-Württemberg,emmendingen - lahr
Baden-Württemberg,emmendingen-lahr
Baden-Württemberg,emmendingen-wolfach
Nordrhein-Westfalen,bochum ii-ennepe-ruhr-kreis ii
Nordrhein-Westfalen,ennepe-ruhr-kreis
Nordrhein-Westfalen,ennepe-ruhr-kreis i
Nordrhein-Westfalen,ennepe-ruhr-kreis ii
Bayern,erding - ebersberg
Nordrhein-Westfalen,erftkreis i
Thüringen,erfurt
Thüringen,erfurt - weimar - weimarer land ii
Thüringen,erfurth
Bayern,erlangen
Bayern,erlangen-fürth
Sachsen,erzgebirgskreis i
Sachsen,freiberg - mittlerer erzgebirgskreis
Nordrhein-Westfalen,essen i
Nordrhein-Westfalen,essen ii
Nordrhein-Westfalen,essen iii
Baden-Württemberg,esslingen
Baden-Württemberg,esslingen-kirchheim
Baden-Württemberg,eßlingen
Nordrhein-Westfalen,bergheim-euskirchen
Nordrhein-Westfalen,euskirchen - erftkreis ii
Nordrhein-Westfalen,euskirchen-erftkreis ii
Nordrhein-Westfalen,euskirchen-erftskreis ii
Schleswig-Holstein,flensburg
Schleswig-Holstein,flensburg - schleswig
Schleswig-Holstein,flensburg schleswig
Schleswig-Holstein,flensburg-schleswig
Schleswig-Holstein,schleswig
Schleswig-Holstein,schleswig-holstein
Brandenburg,frankfurt (oder) - oder-spree
Brandenburg,frankfurt/oder
Hessen,frankfurt am main i
Hessen,frankfurt-am-main i
Hessen,stadtkreis frankfurt-am-main
Hessen,frankfurt am main ii
Hessen,frankfurt am main iii
Hessen,frankfurt-am-main ii
Hessen,frankfurt-am-main iii
Baden-Württemberg,freiburg
Baden-Württemberg,freiburg-waldkirch-emmendingen
Bayern,freising
Niedersachsen,friesland - wilhelmshaven
Niedersachsen,friesland-wilhelmshaven
Niedersachsen,wilhelmshaven
Hessen,fulda
Hessen,fulda-schlüchtern-gersfeld
Bayern,fürstenfeldbruck
Bayern,fürstenfeldburck
Bayern,fürth
Bayern,nürnberg-fürth
Nordrhein-Westfalen,geilenkirchen-erkelenz-jülich
Nordrhein-Westfalen,gelsenkirchen
Nordrhein-Westfalen,gelsenkirchen i
Nordrhein-Westfalen,gelsenkirchen ii
Thüringen,gera - jena - saale-holzland-kreis
Thüringen,gera - saale-holzland-kreis
Thüringen,jena-auma-berga
Hessen,giessen
Hessen,gießen
Niedersachsen,gifhom
Niedersachsen,gifhorn - peine
Niedersachsen,gifhorn-celle
Niedersachsen,gifhorn-peine
Niedersachsen,peine-gifhorn
Niedersachsen,einbeck-osterode
Niedersachsen,goslar
Niedersachsen,goslar - northeim - osterode
Niedersachsen,goslar-wolfenbüttel
Niedersachsen,herzberg-goslar
Niedersachsen,northeim
Niedersachsen,northeim-osterode
Thüringen,gotha
Thüringen,gotha - ilm-kreis
Mecklenburg-Vorpommern,greifswald
Mecklenburg-Vorpommern,greifswald - demmin - ostvorpommern
Mecklenburg-Vorpommern,grimmen-greifswald
Mecklenburg-Vorpommern,demmin-anklam
Thüringen,altenburg
Thüringen,greiz - altenburger land
Hessen,gross-gerau
Hessen,groß-gerau
Baden-Württemberg,gmünd-göppingen
Baden-Württemberg,göppingen
Sachsen,görlitz
Sachsen,lauban-görlitz
Sachsen,löbau-zittau - görlitz - niesky
Niedersachsen,göttingen
Niedersachsen,göttingen-münden
Nordrhein-Westfalen,gütersloh
Nordrhein-Westfalen,ennepe-ruhr-witten
Nordrhein-Westfalen,hagen
Nordrhein-Westfalen,hagen - ennepe-ruhr-kreis i
Sachsen-Anhalt,halle
Sachsen-Anhalt,halle-altstadt
Sachsen-Anhalt,halle-neustadt
Sachsen-Anhalt,saalkreis und stadt halle
Hamburg,altona
Hamburg,hamburg i
Hamburg,hamburg-altona
Hamburg,bergedorf
Hamburg,hamburg-bergedorf
Hamburg,hamburg-bergedorf - harburg
Hamburg,eimsbüttel
Hamburg,hamburg ii
Hamburg,hamburg iii
