name,ideology
bv + cvp + hl,christian democrat
bv + dp,conservative
bv + landliste,conservative
cc + bv,conservative
christlich demokratische union,christian democrat
christlich soziale union,christian democrat
christlich-soziale union in bayern,christian democrat
deutsch-nationale volkspartei,conservative
deutsche freisinnige partei,liberal democrat
deutsche konservative,conservative
deutsche reichspartei,far right
deutsche volkspartei,liberal democrat
die linkspartei.partei des demokratischen sozialismus,social democrat
fortschrittspartei,liberal democrat
freisinnige vereinigung,liberal democrat
freisinnige volkspartei,liberal democrat
kommunistische partei deutschlands,communist
liberale reichspartei,liberal democrat
liberale vereinigung,liberal democrat
national-sozialistische deutsche arbeiter partei,far right
nationalliberale,liberal democrat
others,other
sozialdemokratische partei deutschlands,social democrat
unabhängige sozialdemokratische partei deutschlands,social democrat
zentrum,conservative
