ADM1,Constituency
Schleswig-Holstein,Flensburg – Schleswig
Schleswig-Holstein,Nordfriesland – Dithmarschen Nord
Schleswig-Holstein,Steinburg – Dithmarschen Süd
Schleswig-Holstein,Rendsburg-Eckernförde
Schleswig-Holstein,Kiel
Schleswig-Holstein,Plön – Neumünster
Schleswig-Holstein,Pinneberg
Schleswig-Holstein,Segeberg – Stormarn-Nord
Schleswig-Holstein,Ostholstein
Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd
Schleswig-Holstein,Lübeck
Mecklenburg-Vorpommern,Wismar – Nordwestmecklenburg – Parchim
Mecklenburg-Vorpommern,Schwerin – Ludwigslust
Mecklenburg-Vorpommern,Rostock
Mecklenburg-Vorpommern,Stralsund – Nordvorpommern – Rügen
Mecklenburg-Vorpommern,Greifswald – Demmin – Ostvorpommern
Mecklenburg-Vorpommern,Bad Doberan – Güstrow – Müritz
Mecklenburg-Vorpommern,Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow
Hamburg,Hamburg-Mitte
Hamburg,Hamburg-Altona
Hamburg,Hamburg-Eimsbüttel
Hamburg,Hamburg-Nord
Hamburg,Hamburg-Wandsbek
Hamburg,Hamburg-Bergedorf – Harburg
Niedersachsen,Aurich – Emden
Niedersachsen,Unterems
Niedersachsen,Friesland – Wilhelmshaven
Niedersachsen,Oldenburg – Ammerland
Niedersachsen,Delmenhorst – Wesermarsch – Oldenburg-Land
Niedersachsen,Cuxhaven – Stade II
Niedersachsen,Stade I – Rotenburg II
Niedersachsen,Mittelems
Niedersachsen,Cloppenburg – Vechta
Niedersachsen,Diepholz – Nienburg I
Niedersachsen,Osterholz – Verden
Niedersachsen,Rotenburg I – Soltau-Fallingbostel
Niedersachsen,Harburg
Niedersachsen,Lüchow-Dannenberg – Lüneburg
Niedersachsen,Osnabrück-Land
Niedersachsen,Stadt Osnabrück
Niedersachsen,Nienburg II – Schaumburg
Niedersachsen,Stadt Hannover I
Niedersachsen,Stadt Hannover II
Niedersachsen,Hannover-Land I
Niedersachsen,Celle – Uelzen
Niedersachsen,Gifhorn – Peine
Niedersachsen,Hameln-Pyrmont – Holzminden
Niedersachsen,Hannover-Land II
Niedersachsen,Hildesheim
Niedersachsen,Salzgitter – Wolfenbüttel
Niedersachsen,Braunschweig
Niedersachsen,Helmstedt – Wolfsburg
Niedersachsen,Goslar – Northeim – Osterode
Niedersachsen,Göttingen
Bremen,Bremen I
Bremen,Bremen II – Bremerhaven
Brandenburg,Prignitz – Ostprignitz-Ruppin – Havelland I
Brandenburg,Uckermark – Barnim I
Brandenburg,Oberhavel – Havelland II
Brandenburg,Märkisch-Oderland – Barnim II
Brandenburg,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I
Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II
Brandenburg,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I
Brandenburg,Frankfurt (Oder) – Oder-Spree
Brandenburg,Cottbus – Spree-Neiße
Brandenburg,Elbe-Elster – Oberspreewald-Lausitz II
Sachsen-Anhalt,Altmark
Sachsen-Anhalt,Börde – Jerichower Land
Sachsen-Anhalt,Harz
Sachsen-Anhalt,Magdeburg
Sachsen-Anhalt,Dessau - Wittenberg
Sachsen-Anhalt,Anhalt
Sachsen-Anhalt,Halle
Sachsen-Anhalt,Burgenland – Saalekreis
Sachsen-Anhalt,Mansfeld
Berlin,Berlin-Mitte
Berlin,Berlin-Pankow
Berlin,Berlin-Reinickendorf
Berlin,Berlin-Spandau – Charlottenburg Nord
Berlin,Berlin-Steglitz – Zehlendorf
Berlin,Berlin-Charlottenburg – Wilmersdorf
Berlin,Berlin-Tempelhof – Schöneberg
Berlin,Berlin-Neukölln
Berlin,Berlin-Friedrichshain – Kreuzberg – Prenzlauer Berg Ost
Berlin,Berlin-Treptow – Köpenick
Berlin,Berlin-Marzahn – Hellersdorf
Berlin,Berlin-Lichtenberg
Nordrhein-Westfalen,Aachen
Nordrhein-Westfalen,Kreis Aachen
Nordrhein-Westfalen,Heinsberg
Nordrhein-Westfalen,Düren
Nordrhein-Westfalen,Erftkreis I
Nordrhein-Westfalen,Euskirchen – Erftkreis II
Nordrhein-Westfalen,Köln I
Nordrhein-Westfalen,Köln II
Nordrhein-Westfalen,Köln III
Nordrhein-Westfalen,Bonn
Nordrhein-Westfalen,Rhein-Sieg-Kreis I
Nordrhein-Westfalen,Rhein-Sieg-Kreis II
Nordrhein-Westfalen,Oberbergischer Kreis
Nordrhein-Westfalen,Rheinisch-Bergischer Kreis
Nordrhein-Westfalen,Leverkusen – Köln IV
Nordrhein-Westfalen,Wuppertal I
Nordrhein-Westfalen,Solingen – Remscheid – Wuppertal II
Nordrhein-Westfalen,Mettmann I
Nordrhein-Westfalen,Mettmann II
Nordrhein-Westfalen,Düsseldorf I
Nordrhein-Westfalen,Düsseldorf II
Nordrhein-Westfalen,Neuss I
Nordrhein-Westfalen,Mönchengladbach
Nordrhein-Westfalen,Krefeld I – Neuss II
Nordrhein-Westfalen,Viersen
Nordrhein-Westfalen,Kleve
Nordrhein-Westfalen,Wesel I
Nordrhein-Westfalen,Krefeld II – Wesel II
Nordrhein-Westfalen,Duisburg I
Nordrhein-Westfalen,Duisburg II
Nordrhein-Westfalen,Oberhausen – Wesel III
Nordrhein-Westfalen,Mülheim – Essen I
Nordrhein-Westfalen,Essen II
Nordrhein-Westfalen,Essen III
Nordrhein-Westfalen,Recklinghausen I
Nordrhein-Westfalen,Recklinghausen II
Nordrhein-Westfalen,Gelsenkirchen
Nordrhein-Westfalen,Steinfurt I – Borken I
Nordrhein-Westfalen,Bottrop – Recklinghausen III
Nordrhein-Westfalen,Borken II
Nordrhein-Westfalen,Coesfeld – Steinfurt II
Nordrhein-Westfalen,Steinfurt III
Nordrhein-Westfalen,Münster
Nordrhein-Westfalen,Warendorf
Nordrhein-Westfalen,Gütersloh
Nordrhein-Westfalen,Bielefeld
Nordrhein-Westfalen,Herford – Minden-Lübbecke II
Nordrhein-Westfalen,Minden-Lübbecke I
Nordrhein-Westfalen,Lippe I
Nordrhein-Westfalen,Höxter – Lippe II
Nordrhein-Westfalen,Paderborn
Nordrhein-Westfalen,Hagen – Ennepe-Ruhr-Kreis I
Nordrhein-Westfalen,Ennepe-Ruhr-Kreis II
Nordrhein-Westfalen,Bochum I
Nordrhein-Westfalen,Herne – Bochum II
Nordrhein-Westfalen,Dortmund I
Nordrhein-Westfalen,Dortmund II
Nordrhein-Westfalen,Unna I
Nordrhein-Westfalen,Hamm – Unna II
Nordrhein-Westfalen,Soest
Nordrhein-Westfalen,Hochsauerlandkreis
Nordrhein-Westfalen,Siegen-Wittgenstein
Nordrhein-Westfalen,Olpe – Märkischer Kreis I
Nordrhein-Westfalen,Märkischer Kreis II
Sachsen,Nordsachsen
Sachsen,Leipzig I
Sachsen,Leipzig II
Sachsen,Leipzig-Land
Sachsen,Meißen
Sachsen,Bautzen I
Sachsen,Görlitz
Sachsen,Sächsische Schweiz – Osterzgebirge
Sachsen,Dresden I
Sachsen,Dresden II – Bautzen II
Sachsen,Mittelsachsen
Sachsen,Chemnitz
Sachsen,Chemnitzer Umland – Erzgebirgskreis II
Sachsen,Erzgebirgskreis I
Sachsen,Zwickau
Sachsen,Vogtlandkreis
Hessen,Waldeck
Hessen,Kassel
