ADM1,Constituency
Hovedstaden,Bornholms Storkreds
Hovedstaden,Frederiksborg Amtskreds
Hovedstaden,Hovedstaden
Hovedstaden,København-Frederiksberg
Hovedstaden,Københavns Amtskreds
Hovedstaden,Københavns Omegns Storkreds
Syddanmark,Ribe Amtskreds
Midtjylland,Ringkøbing Amtskreds
Hovedstaden,Vestre Storkreds
Nordjylland,aalborg oest
Nordjylland,aalborg vest
Syddanmark,aeroeskoebing
Syddanmark,assens
Syddanmark,bjerre
Syddanmark,bogense
Midtjylland,braestrup
Syddanmark,bredebro
Midtjylland,ebeltoft
Hovedstaden,enghave
Syddanmark,esbjerg
Syddanmark,faaborg-aeroeskoebing
Hovedstaden,fredensborg
Hovedstaden,frederiksberg i
Hovedstaden,frederiksberg ii
Hovedstaden,frederiksborg amtskreds
Nordjylland,frederikshavn
Hovedstaden,frederiksvaerk
Nordjylland,froestrup
Sjaælland,fuglebjerg
Hovedstaden,gentofte
Syddanmark,give
Hovedstaden,gl. konglevej
Nordjylland,halvrimmen
Syddanmark,havne
Hovedstaden,helsingoer
Midtjylland,herning
Nordjylland,hjoerring
Nordjylland,hjoerring amtskreds
Syddanmark,hoejrup
Sjaælland,holbaek
Sjaælland,holbaek amtskreds
Midtjylland,holstebro
Midtjylland,hornslet
Midtjylland,horsens
Midtjylland,horsens bykreds
Hovedstaden,koebenhavns amtskreds
Sjaælland,koege
Sjaælland,lejre
Sjaælland,naestved
Midtjylland,odder
Syddanmark,odense amtskreds
Syddanmark,odense i
Syddanmark,odense ii
Midtjylland,oestbane
Midtjylland,oestbirk
Hovedstaden,oesterbro
Hovedstaden,oestre storkreds
Syddanmark,otterup
Sjaælland,praestoe
Sjaælland,praestoe amtskreds
Nordjylland,randers amtskreds
Nordjylland,randers bykreds
Syddanmark,ribe amtskreds
Midtjylland,ringkoebing amtskreds
Midtjylland,rinkoebing amtskreds
Hovedstaden,roenne
Hovedstaden,rosenborg
Sjaælland,roskilde
Nordjylland,saeby
Sjaælland,sakskoebing
Midtjylland,skanderborg amtskreds
Sjaælland,skelskoer
Midtjylland,skern
Midtjylland,skive
Midtjylland,skjern
Midtjylland,soedervinge
Midtjylland,soendervinge
Hovedstaden,soendre storkreds
Sjaælland,stege
Hovedstaden,stotskredsen
Sjaælland,stubbekoebing
Syddanmark,svendborg amtskreds
Nordjylland,thisted
Syddanmark,varde
Sjaælland,vedby
Syddanmark,vejle
Midtjylland,venderup
Syddanmark,verninge
Hovedstaden,vesterbro
Hovedstaden,vestre storkreds
Sjaælland,Øerne
Hovedstaden,Østre Storkreds
Nordjylland,Jylland
Midtjylland,Jylland
Syddanmark,Jylland
Midtjylland,Midtjylland-Nordjylland
Nordjylland,Midtjylland-Nordjylland
Hovedstaden,hilleroed
Syddanmark,kerteminde
Midtjylland,lemvig
Sjaælland,lyngby
