ADM1,Constituency
Azua,azua
Bahoruco,bahoruco
Barahona,barahona
Dajabón,dajabon
Distrito Nacional,distrito nacional
Distrito Nacional,distrito nacional 1
Distrito Nacional,distrito nacional 2
Distrito Nacional,distrito nacional 3
Duarte,duarte
Duarte,duarte 1
Duarte,duarte 2
El Seybo,el seibo
El Seybo,el seybo
Espaillat,elias piÑa
Espaillat,elias piña
Espaillat,espaillat
Hato Mayor,hato mayor
Independencia,independencia
La Altagracia,altagracia
La Altagracia,la altagracia
La Romana,la romana
La Vega,la vega
La Vega,la vega 1
La Vega,la vega 2
María Trinidad Sánchez,maria trinidad sanchez
Monseñor Nouel,monseÑor nouel
Monseñor Nouel,monseñor nouel
Monte Cristi,montecristi
Monte Plata,monte plata
Pedernales,pedernales
Peravia,peravia
Puerto Plata,puerto plata
Puerto Plata,puerto plata 1
Puerto Plata,puerto plata 2
Samaná,samana
San Cristóbal,san cristobal
San Cristóbal,san cristobal 1
San Cristóbal,san cristobal 2
San Cristóbal,san cristobal 3
San José de Ocoa,san jose de ocoa
San Juan,san juan
San Juan,san juan 1
San Juan,san juan 2
San Juan,san juan de la maguana 1
San Juan,san juan de la maguana 2
San Pedro de Macorís,san pedro de macoris
San Pedro de Macorís,san pedro macoris
Santiago,santiago
Santiago,santiago 1
Santiago,santiago 2
Santiago,santiago 3
Santiago,santiago de los caballeros 1
Santiago,santiago de los caballeros 2
Santiago,santiago de los caballeros 3
Santiago Rodríguez,santiago rodriguez
Santo Domingo,santo domingo 1
Santo Domingo,santo domingo 2
Santo Domingo,santo domingo 3
Santo Domingo,santo domingo 4
Santo Domingo,santo domingo 5
Santo Domingo,santo domingo 6
Sánchez Ramírez,sanchez ramirez
Valverde,salcedo
Valverde,valverde
