ADM1,Constituency
Azuay,AZUAY
Bolivar,BOLIVAR
Carchi,CARCHI
Carchi,"LATIN AMERICA, THE CARIBBEAN, AND AFRICA"
Cañar,CAÑAR
Cañar,U.S. AND CANADA
Chimborazo,CHIMBORAZO
Cotopaxi,COTOPAXI
El Oro,EL ORO
Esmeraldas,ESMERALDAS
Galápagos,GALÁPAGOS
Guayas,GUAYAS
Imbabura,IMBABURA
Loja,LOJA
Los Rios,LOS RIOS
Manabi,MANABÍ
Morona Santiago,MORONA SANTIAGO
Napo,NAPO
Orellana,"EUROPE, ASIA, AND OCEANIA"
Orellana,ORELLANA
Pastaza,PASTAZA
Pichincha,PICHINCHA
Santa Elena,SANTA ELENA
Santo Domingo de los Tsáchilas,STO DGO TSÁCHILAS
Sucumbios,SUCUMBIOS
Tungurahua,TUNGURAHUA
Zamora Chinchipe,ZAMORA CHINCHIPE
