name,ideology
UDC/ID Alliance,social democrat
Partido Unidad Republicana,conservative
Movimiento de Unidad de las Nacionalidades y del Pueblo de Pastaza,regionalist
Partido Socialista Ecuatoriana,social democrat
"Movimiento Alianza País, Patria Altiva I Soberana",social democrat
Movimiento Independiente Fuerza Amazonica,social democrat
PRE/PSC/AA Alliance,conservative
Partido Social Cristiano,christian democrat
PRE/AA Alliance Party,conservative
Movimiento Ciudadano Nuevo País,social democrat
Partido Izquierda Democratica,social democrat
Partido Conservador Ecuatoriano,conservative
Movimiento Unidad Plurinacional Pachakutik-Nuevo Pais,social democrat
Concentración de Fuerzas Populares,far right
PS-FA/MUPPNP Alliance,far right
Partido Sociedad Patriótica,conservative
Partido Roldosista Ecuatoriano,conservative
Other Parties,other
UDC/RED Alliance,conservative
Acción Regional por la Equidad,social democrat
ID/RED Alliance,conservative
Partido Renovador Institucional Acción Nacional,far right
UDC/MSC Alliance,conservative
Democracia Popular,christian democrat
