ADM1,Constituency
Albacete,albacete
Alicante,alicante
Alicante,alicante / alacant
Almería,almeria
Almería,almería
Almería,almer’a
Asturias,asturias
Asturias,oviedo/asturias
Badajoz,badajoz
Baleares,baleares
Baleares,illes balears
Barcelona,barcelona
Bizkaia,bizkaia
Bizkaia,vizcaya
Burgos,burgos
Cantabria,cantabria
Cantabria,santander/cantabria
Castellón,castellón / castelló
Castellón,castell—n / castell—
Castellón,castellon de la plana
Ceuta,ceuta
Ciudad Real,ciudad real
Cuenca,cuenca
Cáceres,caceres
Cáceres,cáceres
Cáceres,c‡ceres
Cádiz,cadiz
Cádiz,cádiz
Cádiz,c‡diz
Córdoba,cordoba
Córdoba,córdoba
Córdoba,c—rdoba
Gerona,gerona
Gerona,girona
Gipuzkoa,gipuzkoa
Gipuzkoa,guipcuzcoa
Gipuzkoa,guipúzcoa
Granada,granada
Guadalajara,guadalajara
Huelva,huelva
Huesca,huesca
Jaén,jaen
Jaén,jaén
Jaén,jaŽn
La Coruña,a coruña
La Coruña,a coru–a
La Coruña,coruna (la)
La Rioja,la rioja
La Rioja,logrono/la rioja
Las Palmas,las palmas
Las Palmas,palmas (las)
León,leon
León,león
León,le—n
Lugo,lugo
Lérida,lerida
Lérida,lleida
Madrid,madrid
Melilla,melilla
Murcia,murcia
Málaga,malaga
Málaga,málaga
Málaga,m‡laga
Navarra,navarra
Orense,orense
Orense,ourense
Palencia,palencia
Pontevedra,pontevedra
Salamanca,salamanca
Santa Cruz de Tenerife,santa cruz de tenerife
Segovia,segovia
Sevilla,sevilla
Soria,soria
Tarragona,tarragona
Teruel,teruel
Toledo,toledo
Valencia,valencia
Valencia,valencia / val_ncia
Valencia,valencia / valència
Valladolid,valladolid
Zamora,zamora
Zaragoza,zaragoza
Álava,alava
Álava,araba - çlava
Álava,Álava
Ávila,avila
Ávila,Ávila
Ávila,çvila
