name,ideology
amaiur,regionalist
centro democratico y social,social democrat
coalicion popular,conservative
convergencia i unio,regionalist
eusko alderdi jeltzalea-partido nacionalista vasco,regionalist
euzko alderdi jeltzalea-partido nacionalista vasco,regionalist
herri batasuna,regionalist
others,other
pacte democratic per catalunya,regionalist
partido dels socialistes de catalunya,regionalist
partido nacionalista vasco,regionalist
partido popular,christian democrat
partido popular - en coalici—n con el partido aragonŽs,christian democrat
partido popular - extremadura unida,christian democrat
partido socialista de euskadi-euskadiko ezkerra (psoe),social democrat
partido socialista obrero espanol,social democrat
partido socialista obrero español,social democrat
partido socialista obrero español - progresistas,social democrat
partido socialista obrero español de andalucia,social democrat
partido socialista obrero espa–ol,social democrat
pp en coalicion con upm,christian democrat
union de centro democratico,christian democrat
union del pueblo navarro - partido popular,christian democrat
