ADM1,Constituency
Harju,"Harjumaa, Raplamaa"
Harju,harju and rapla counties
Harju,harju maakond/ rapla maakond
Hiiu,"Hiiumaa, Läänemaa, Saaremaa"
Hiiu,"hiiu, lÄÄne and saare counties"
Ida-Viru,Ida-Virumaa
Ida-Viru,ida-tallinna iinaosa
Ida-Viru,ida-viru county
Ida-Viru,ida-viru maakond
Ida-Viru,kesklinna iinnaosa/ lasnamõe iinnaosa/ pirita iinnaosa
Ida-Viru,louna-tallinna iinnaosa
Ida-Viru,lõõne-viru maakond/ ida-viru maakond
Ida-Viru,pohja-tallina iinnaosa
Järva,"Järvamaa, Viljandimaa"
Järva,jÄrva and viljandi counties
Järva,jõrva maakond/ lõõne-viru maakond
Järva,jõrva maakond/ viljandi maakond
Jõgeva,"Jõgevamaa, Tartumaa"
Jõgeva,jÕgeva and tartu counties
Lääne,Lääne-Virumaa
Lääne,"Tallinn 1 (Haabersti, Põhja-Tallinn, Kristiine)"
Lääne,lõõne-tallinna iinnaosa
Lääne,tallinn east
Lääne,tallinn west
Lääne-Viru,haabersti iinnaosa/ pohja iinnaosa/ kristiine iinnaosa
Lääne-Viru,lÄÄne-viru county
Lääne-Viru,tallinn south
Pärnu,Pärnumaa
Pärnu,pÄrnu county
Pärnu,põrnu maakond
Põlva,"Võrumaa, Valgamaa, Põlvamaa"
Põlva,"pÕlva, valga and vÕru counties"
Saare,"Tallinn 2 (Kesklinn, Lasnamäe, Pirita)"
Saare,"Tallinn 3 (Mustamäe, Nõmme)"
Saare,hiiu maakond/ lõõne maakond/ saare maakond
Tartu,Tartu linn (city)
Tartu,jogeva maakond/ tartu maakond
Tartu,mustarmõe iinnaosa/ nomme iinnaosa
Tartu,tartu city
Tartu,tartu iin/ tartu maakond
Tartu,tartu iinn
Valga,voru maakond/ valga maakond/ polva maakond
Viljandi,jogeva maakond/ viljandi maakond
