name,ideology
valimisliit kindel kodu,liberal democrat
mõõdukad,social democrat
Ühendus vabariigi eest - res publica,conservative
Sotsiaaldemokraatilik Erakond,social democrat
valimisliit mÕÕdukad,social democrat
valimisliit koonderakond ja maarahva Ühendus,liberal democrat
Eesti Reformierakond,liberal democrat
eesti keskerakond,liberal-socialist
eesti reformierakond,liberal democrat
erakond isamaaliit,conservative
valimisliit isamaa,conservative
valimisliit sÕltumatud kuningriiklased,other
Eesti Keskerakond,liberal-socialist
valimisliit eesti kodanik,big tent
eestimaa rahvaliit,conservative
