ADM1,Constituency
Central Finland,central finland
Central Finland,keski-suomen läänin
Central Ostrobothnia,vaasan läänin eteläinen
Central Ostrobothnia,vaasan läänin itäinen
Central Ostrobothnia,vaasan läänin
Central Ostrobothnia,vaasan läänin pohjoinen
Central Ostrobothnia,vaasa
Southern Ostrobothnia,vaasan läänin eteläinen
Southern Ostrobothnia,vaasan läänin itäinen
Southern Ostrobothnia,vaasan läänin
Southern Ostrobothnia,vaasan läänin pohjoinen
Southern Ostrobothnia,vaasa
Ostrobothnia,vaasan läänin eteläinen
Ostrobothnia,vaasan läänin itäinen
Ostrobothnia,vaasan läänin
Ostrobothnia,vaasan läänin pohjoinen
Ostrobothnia,vaasa
Finland Proper,varsinaissuomi
Kymenlaakso,kymen läänin
Kymenlaakso,kymen läänin itäinen
Kymenlaakso,kymen läänin läntinen
Kymenlaakso,kymi
Lapland,lapin läänin
Lapland,lapland
North Karelia,north karelia
North Karelia,pohjoinen karialan läänin
Northern Ostrobothnia,oulun läänin eteläinen
Northern Ostrobothnia,oulun läänin pohjoinen
Northern Ostrobothnia,oulu
Northern Ostrobothnia,oulun läänin
Kainuu,oulun läänin eteläinen
Kainuu,oulun läänin pohjoinen
Kainuu,oulu
Kainuu,oulun läänin
Northern Savonia,kuopion läänin itäinen
Northern Savonia,kuopion läänin läntinen
Northern Savonia,kuopion läänin
Northern Savonia,north savo
Pirkanmaa,pirkanmaa
Pirkanmaa,satakunta
Pirkanmaa,turun-porin läänin pohjoinen
Pirkanmaa,tutun-porin läänin eteläinen
Päijät-Häme,häme
Satakunta,satakunta
Satakunta,turun-porin läänin pohjoinen
Satakunta,tutun-porin läänin eteläinen
South Karelia,viipurin läänin itäinen
South Karelia,viipurin läänin läntinen
Southern Savonia,south savo
Southern Savonia,mikkelin läänin
Tavastia Proper,hämeen läänin eteläinen
Tavastia Proper,hämeen läänin pohjoinen
Uusimaa,uusimaa
Uusimaa,helsinki läänin
Uusimaa,helsinki
Uusimaa,uudenmaan läänin
