name,ideology
cdp (urp),christian democrat
divers droite,liberal democrat
divers réformateurs,liberal democrat
front national,far right
mouvement de citoyen,social democrat
mouvement des radicaux de gauche,liberal-socialist
parti communiste français,communist
parti radical de gauche,liberal-socialist
parti socialiste,social democrat
ps + mrg,social democrat
ps + prs,social democrat
rassemblement pour la république,conservative
ri (urp),conservative
rpr + udf,conservative
régionalistes,regionalist
udr (urp),conservative
union pour la démocratie française,christian democrat
union pour un mouvement populaire,conservative
