ADM1,Constituency
Abkhazia,Abasha
Abkhazia,Akhalkalaki
Abkhazia,Kaspi
Abkhazia,Keda
Abkhazia,Khobi
Abkhazia,Khoni
Abkhazia,Oni
Ajaria,Chokhatauri
Ajaria,Nadzaladevi
Ajaria,Tsalenjikha
Guria,Ambrolauri
Guria,Borjomi
Guria,Chiatura
Guria,Chughureti
Guria,Gardabani
Guria,Gori
Guria,Gurjaani
Guria,Kharagauli
Guria,Khashuri
Guria,Khelvachauri
Guria,Saburtalo
Guria,Samtredia
Guria,Zugdidi
Imereti,Adigeni
Imereti,Didube
Imereti,Mestia
Imereti,Overseas
Imereti,Ozurgeti
Imereti,Rustavi
Kakheti,Akhaltsikhe
Kakheti,Akhmeta
Kakheti,Baghdati
Kakheti,Batumi
Kakheti,Dusheti
Kakheti,Kazbegi
Kakheti,Kobuleti
Kakheti,Lagodekhi
Kakheti,Senaki
Kakheti,Shuakhevi
Kakheti,Sighnaghi
Kvemo Kartli,Kareli
Kvemo Kartli,Kvareli
Kvemo Kartli,Martvili
Mtskheta-Mtianeti,Marneuli
Mtskheta-Mtianeti,Mtskheta
Mtskheta-Mtianeti,Tetritskaro
Mtskheta-Mtianeti,Tianeti
Mtskheta-Mtianeti,Tsalka
Mtskheta-Mtianeti,Tskaltubo
Racha-Lechkhumi-Kvemo Svaneti,Chkhorotsku
Racha-Lechkhumi-Kvemo Svaneti,Khulo
Racha-Lechkhumi-Kvemo Svaneti,Lanchkhuti
Racha-Lechkhumi-Kvemo Svaneti,Lentekhi
Samegrelo-Zemo Svaneti,Gldani
Samegrelo-Zemo Svaneti,Isani
Samegrelo-Zemo Svaneti,Poti
Samegrelo-Zemo Svaneti,Sachkhere
Samegrelo-Zemo Svaneti,Sagarejo
Samegrelo-Zemo Svaneti,Samgori
Samegrelo-Zemo Svaneti,Terjola
Samegrelo-Zemo Svaneti,Tsageri
Samegrelo-Zemo Svaneti,Vake
Samegrelo-Zemo Svaneti,Vani
Samegrelo-Zemo Svaneti,Zestaphoni
Shida Kartli,Aspindza
Shida Kartli,Krtsanisi
Shida Kartli,Mtatsminda
Shida Kartli,Ninotsminda
Tbilisi,Bolnisi
Tbilisi,Dedoplistskaro
Tbilisi,Dmanisi
Tbilisi,Kutaisi
Tbilisi,Telavi
Tbilisi,Tkibuli
