ADM1,Constituency
Ashanti,AINABKOI
Ashanti,AINAMOI
Ashanti,ALDAI
Ashanti,BAHATI
Ashanti,BANISSA
Ashanti,BOBASI
Ashanti,BUDALANGI
Ashanti,Bobatsi
Ashanti,EMBAKASI  SOUTH
Ashanti,FAFI
Ashanti,GARISSA TOWNSHIP
Ashanti,GITHUNGURI
Ashanti,HAMISI
Ashanti,Halinyane
Ashanti,KABONDO  KASIPUL
Ashanti,KABUCHAI
Ashanti,KAITI
Ashanti,KALOLENI
Ashanti,KAMUKUNJI
Ashanti,KANDUYI
Ashanti,KARACHUONYO
Ashanti,KASARANI
Ashanti,KASIPUL
Ashanti,KATHIANI
Ashanti,KIHARU
Ashanti,KIMININI
Ashanti,KISAUNI
Ashanti,KITUTU MASABA
Ashanti,KWANZA
Ashanti,Khafung
Ashanti,LAISAMIS
Ashanti,LARI
Ashanti,LIKONI
Ashanti,LIKUYANI
Ashanti,Likhakeng
Ashanti,MAGARINI
Ashanti,MAKUENI
Ashanti,MALINDI
Ashanti,MANYATTA
Ashanti,MASINGA
Ashanti,MATHARE
Ashanti,MATHIOYA
Ashanti,MSAMBWENI
Ashanti,MWATATE
Ashanti,Makhaleng
Ashanti,Makheka
Ashanti,Maletsunyane
Ashanti,Malibamatso
Ashanti,Maliepetsane
Ashanti,Matsoaing
Ashanti,Mohale's Hoek
Ashanti,Mount Olivet
Ashanti,NAIVASHA
Ashanti,NANDI HILLS
Ashanti,NDIA
Ashanti,NYARIBARI  MASABA
Ashanti,NYATIKE
Ashanti,Phuthiatsana
Ashanti,Popa-Linakaneng
Ashanti,Qacha's Nek
Ashanti,Qalabane
Ashanti,Qaqatu
Ashanti,Qhoali
Ashanti,RABAI
Ashanti,SABATIA
Ashanti,SABOTI
Ashanti,SAKU
Ashanti,SHINYALU
Ashanti,SIRISIA
Ashanti,SOTIK
Ashanti,SOUTH IMENTI
Ashanti,SUBA
Ashanti,SUBUKIA
Ashanti,Senqunyane
Ashanti,Thaba Telle
Ashanti,Thaba-putsoa
Ashanti,Thaba-telle
Ashanti,Thaban-ntsonyana
Ashanti,Thabana Ntsonyana
Ashanti,Thabana-li-'Mele
Ashanti,Tsoaing
Ashanti,WUNDANYI
Ashanti,achada
Ashanti,ainamoi
Ashanti,aldai
Ashanti,bafata
Ashanti,bahari
Ashanti,bambadinca
Ashanti,bobasi
Ashanti,budalangi
Ashanti,caio
Ashanti,catio
Ashanti,chadiza
Ashanti,cherangani
Ashanti,district 1
Ashanti,district 10
Ashanti,district 100
Ashanti,district 102
Ashanti,district 103
Ashanti,district 104
Ashanti,district 105
Ashanti,district 106
Ashanti,district 107
Ashanti,district 11
Ashanti,district 110
Ashanti,district 12
Ashanti,district 122
Ashanti,district 126
Ashanti,district 127
Ashanti,district 128
Ashanti,district 129
Ashanti,district 13
Ashanti,district 130
Ashanti,district 131
Ashanti,district 133
Ashanti,district 134
Ashanti,district 135
Ashanti,district 136
Ashanti,district 137
Ashanti,district 138
Ashanti,district 139
Ashanti,district 14
Ashanti,district 140
Ashanti,district 141
Ashanti,district 142
Ashanti,district 143
Ashanti,district 144
Ashanti,district 145
Ashanti,district 146
Ashanti,district 147
Ashanti,district 148
Ashanti,district 149
Ashanti,district 15
Ashanti,district 150
Ashanti,district 151
Ashanti,district 152
Ashanti,district 153
Ashanti,district 154
Ashanti,district 155
Ashanti,district 156
Ashanti,district 157
Ashanti,district 158
Ashanti,district 159
Ashanti,district 16
Ashanti,district 160
Ashanti,district 161
Ashanti,district 162
Ashanti,district 163
Ashanti,district 164
Ashanti,district 165
Ashanti,district 166
Ashanti,district 167
Ashanti,district 168
Ashanti,district 169
Ashanti,district 17
Ashanti,district 170
Ashanti,district 171
Ashanti,district 172
Ashanti,district 173
Ashanti,district 174
Ashanti,district 175
Ashanti,district 176
Ashanti,district 177
Ashanti,district 178
Ashanti,district 179
Ashanti,district 18
Ashanti,district 180
Ashanti,district 181
Ashanti,district 182
Ashanti,district 183
Ashanti,district 184
Ashanti,district 185
Ashanti,district 186
Ashanti,district 187
Ashanti,district 188
Ashanti,district 19
Ashanti,district 2
Ashanti,district 20
Ashanti,district 21
Ashanti,district 22
