ADM1,Constituency
Beyla,Berea
Beyla,Khubela
Beyla,Khubelu
Beyla,Tele
Beyla,Teyateyaneng
Boffa,Bobatsi
Boke,Boleka
Boke,Hleoheng
Boke,Hlotse
Boke,Mabote
Boke,Mohale's Hoek
Boke,Thuba Kubu
Boke,Tsoelike
Coyah,Mechachane
Dinguiraye,Quthing
Faranah,Mpharane
Kankan,Ketane
Kankan,Khafung
Kankan,Makhaleng
Kankan,Manka
Kankan,Monkhoaneng
Kankan,No Tsatsane
Kankan,Nqechane
Kankan,Senqunyane
Koubia,Thupa Kubu
Koundara,Kolonyama
Kérouané,Koro-Koro
Kérouané,Tsikoane
Labé,Likhetlane
Labé,Lipelaneng
Labé,Pela-ts'oeu
Labé,Pela-tsoeu
Labé,Qalabane
Labé,Thaba Phechela
Labé,Thaba-Bosiu
Labé,Thaba-Moea
Labé,Thaba-Phatsoa
Labé,Thaba-putsoa
Labé,Thabana Morena
Labé,Thabana Ntsonyana
Lola,Hloahloeng
Lola,Qalo
Macenta,Mafeteng
Macenta,Makheka
Macenta,Matela
Macenta,Mosalemane
Macenta,Moyeni
Macenta,Qacha's Nek
Macenta,Qeme
Macenta,Semena
Mali,Maletsunyane
Mali,Malibamats'O
Mali,Malibamatso
Mali,Maliepetsane
Mali,Malimong
Mali,Malubelube
Mali,Mashai
Mali,Matlakeng
Mali,Mekaling
Mali,Qhoali
Mali,Qoaling
Mali,Tsmie
Mamou,Masemouse
Mamou,Maseru
Mamou,Matsoaing
Mamou,Matsoku
Mamou,Mphosong
Mamou,Qaqatu
Mandiana,Maama
Nzérékoré,Korokoro
Pita,Peka
Pita,Pitseng
Pita,Sea Point
Pita,Thaba-Chitja
Tougué,Mokhotlong
Tougué,Taung
Tougué,Tosing
Tougué,Tsitsong
Tougué,Tsoaing
Télimélé,Motimposo
Télimélé,Tlametlu
Télimélé,Tsime
