ADM1,Constituency
Central River,gem
North Bank,machakos  south
West Coast,district 1
West Coast,district 10
West Coast,district 100
West Coast,district 101
West Coast,district 102
West Coast,district 104
West Coast,district 107
West Coast,district 11
West Coast,district 12
West Coast,district 122
West Coast,district 126
West Coast,district 127
West Coast,district 128
West Coast,district 129
West Coast,district 13
West Coast,district 130
West Coast,district 134
West Coast,district 135
West Coast,district 137
West Coast,district 138
West Coast,district 139
West Coast,district 14
West Coast,district 140
West Coast,district 141
West Coast,district 142
West Coast,district 143
West Coast,district 144
West Coast,district 147
West Coast,district 148
West Coast,district 15
West Coast,district 151
West Coast,district 152
West Coast,district 154
West Coast,district 157
West Coast,district 158
West Coast,district 159
West Coast,district 16
West Coast,district 160
West Coast,district 165
West Coast,district 167
West Coast,district 168
West Coast,district 17
West Coast,district 170
West Coast,district 171
West Coast,district 172
West Coast,district 174
West Coast,district 175
West Coast,district 176
West Coast,district 177
West Coast,district 179
West Coast,district 18
West Coast,district 180
West Coast,district 181
West Coast,district 182
West Coast,district 184
West Coast,district 185
West Coast,district 186
West Coast,district 187
West Coast,district 188
West Coast,district 19
West Coast,district 2
West Coast,district 20
West Coast,district 22
West Coast,district 23
West Coast,district 24
West Coast,district 27
West Coast,district 28
West Coast,district 3
West Coast,district 31
West Coast,district 32
West Coast,district 33
West Coast,district 34
West Coast,district 38
West Coast,district 4
West Coast,district 40
West Coast,district 41
West Coast,district 42
West Coast,district 43
West Coast,district 44
West Coast,district 45
West Coast,district 46
West Coast,district 47
West Coast,district 48
West Coast,district 49
West Coast,district 5
West Coast,district 50
West Coast,district 51
West Coast,district 52
West Coast,district 53
West Coast,district 54
West Coast,district 55
West Coast,district 57
West Coast,district 58
West Coast,district 59
West Coast,district 6
West Coast,district 60
West Coast,district 61
West Coast,district 62
West Coast,district 63
West Coast,district 64
West Coast,district 66
West Coast,district 67
West Coast,district 68
West Coast,district 7
West Coast,district 70
West Coast,district 71
West Coast,district 72
West Coast,district 73
West Coast,district 74
West Coast,district 75
West Coast,district 76
West Coast,district 77
West Coast,district 78
West Coast,district 79
West Coast,district 8
West Coast,district 81
West Coast,district 82
West Coast,district 83
West Coast,district 84
West Coast,district 86
West Coast,district 87
West Coast,district 88
West Coast,district 89
West Coast,district 9
West Coast,district 90
West Coast,district 92
West Coast,district 93
West Coast,district 95
West Coast,district 96
West Coast,district 98
West Coast,district 99
