ADM1,Constituency
Bafatá,bahati
Bafatá,bwacha
Bafatá,bwanamkubwa
Bafatá,chadiza
Bafatá,chikankata
Bafatá,kafue
Bafatá,kafulafuta
Bafatá,kamfinsa
Bafatá,kaputa
Bafatá,lubansenshi
Bafatá,lukulu east
Bafatá,lukulu west
Bafatá,mapatizya
Bafatá,masaiti
Bafatá,matero
Bafatá,mfuwe
Biombo,chililabombwe
Biombo,e        mufumbwe
Biombo,kabompo east
Biombo,kabompo west
Biombo,kapiri mposhi
Biombo,keembe
Biombo,livingstone
Biombo,magoye
Biombo,mpongwe
Biombo,mwansabombwe
Biombo,mwense
Biombo,nyimba
Biombo,sikongo
Biombo,vubwi
Bissau,chinsali
Bissau,isoka west
Bissau,kanchibiya
Bissau,liuwa
Bissau,mkushi south
Bissau,petauke
Bissau,serenje
Bissau,sesheke
Bolama,chama north
Bolama,chama south
Bolama,chavuma
Bolama,chawama
Bolama,chingola
Bolama,choma
Bolama,choma central
Bolama,e        kasempa
Bolama,kanyama
Bolama,kaoma central
Bolama,kasama central
Bolama,kasempa
Bolama,luampa
Bolama,luanshya
Bolama,luapula
Bolama,lufwanyama
Bolama,lukashya
Bolama,lumezi
Bolama,lusaka central
Bolama,mambilima
Bolama,nalikwanda
Bolama,namwala
Bolama,nangoma
Bolama,ndola central
Bolama,roan
Bolama,sinjembela
Cacheu,bangweulu
Cacheu,chasefu
Cacheu,chembe
Cacheu,chiengi
Cacheu,chifubu
Cacheu,chilubi
Cacheu,chimwemwe
Cacheu,chipata central
Cacheu,chipili
Cacheu,chongwe
Cacheu,kapoche
Cacheu,kwacha
Cacheu,mandevu
Cacheu,mansa central
Cacheu,mpika central
Cacheu,nakonde
Cacheu,nchelenge
Gabú,bweengwa
Gabú,chifunabuli
Gabú,chilanga
Gabú,chipangali
Gabú,chisamba
Gabú,chitambo
Gabú,e        mwinilunga east
Gabú,e        mwinilunga west
Gabú,e        zambezi west
Gabú,gwembe
Gabú,kabushi
Gabú,kabwata
Gabú,kabwe central
Gabú,kalabo central
Gabú,kasenengwa
Gabú,kawambwa
Gabú,malambo
Gabú,mangango
Gabú,mazabuka
Gabú,mazabuka central
Gabú,mbabala
Gabú,muchinga
Gabú,mufumbwe
Gabú,mwinilunga east
Gabú,mwinilunga west
Gabú,nchanga
Gabú,pambashe
Gabú,senanga central
Gabú,shiwang’andu
Gabú,siavonga
Gabú,zambezi east
Gabú,zambezi west
Oio,chimbamilonga
Oio,dundumwezi
Oio,isoka east
Oio,kalomo central
Oio,kankoyo
Oio,luangeni
Oio,lupososhi
Oio,mporokoso
Oio,nalolo
Oio,wusakile
Quinara,e        solwezi central
Quinara,feira
Quinara,luena
Quinara,lundazi
Quinara,lunte
Quinara,mkushi north
Quinara,msanzala
Quinara,mufulira
Quinara,nkana
Quinara,rufunsa
Quinara,sinazongwe
Quinara,sinda
Quinara,solwezi central
Tombali,e        solwezi east
Tombali,e        solwezi west
Tombali,kalulushi
Tombali,kantanshi
Tombali,katombola
Tombali,katuba
Tombali,malole
Tombali,mbala
Tombali,milanzi
Tombali,mkaika
Tombali,mongu central
Tombali,monze central
Tombali,moomba
Tombali,mulobezi
Tombali,mumbwa
Tombali,munali
Tombali,mwandi
Tombali,mwembezhi
Tombali,pemba
Tombali,sesheke central
Tombali,solwezi east
