ADM1,Constituency
Annobón,dagoretti
Annobón,homa  bay
Annobón,lambwe
Annobón,mount  elgon
Annobón,nyando
Annobón,ruwamba
Annobón,taveta-voi
Annobón,wanjare s.mugirango
Bioko Norte,bondo
Bioko Norte,embu north
Bioko Norte,ikolomani
Bioko Norte,machakos north
Bioko Norte,mombasa north
Bioko Norte,nyandarua north/aberdares
Bioko Sur,butere
Bioko Sur,embu south
Bioko Sur,gichugu
Bioko Sur,machakos  south
Bioko Sur,mombasa south
Bioko Sur,uasin gishu
Centro Sur,kericho  east
Centro Sur,machakos central
Centro Sur,meru  west
Centro Sur,meru central
Centro Sur,mombasa central
Centro Sur,nakuru east
Centro Sur,narok
Centro Sur,nyeri
Centro Sur,ugenya
Kié-Ntem,emuhaya
Kié-Ntem,gem
Kié-Ntem,kiambaa
Kié-Ntem,kigumo
Kié-Ntem,kiharu
Kié-Ntem,kilifi north
Kié-Ntem,kilifi south
Kié-Ntem,kisumu town
Kié-Ntem,kitui  south
Kié-Ntem,kitutu east
Kié-Ntem,kitutu west
Kié-Ntem,malindi south
Kié-Ntem,marakwet
Kié-Ntem,nakuru town
Kié-Ntem,othaya/south tetu
Kié-Ntem,tana  river
Kié-Ntem,winam
Litoral,aldai
Litoral,elgon central
Litoral,githunguri
Litoral,kisumu rural
Litoral,langata
Litoral,lurambi
Litoral,migori
Litoral,mumias
Litoral,ndia
Litoral,tharaka
Litoral,trans nzoia
Litoral,vihiga
Litoral,yatta
Wele-Nzás,elgeyo
Wele-Nzás,elgon west
Wele-Nzás,kwale west
Wele-Nzás,machakos  west
Wele-Nzás,nakuru west
Wele-Nzás,samburu west
Wele-Nzás,starehe
