ADM1,Constituency
Anatoliki Makedonia kai Thraki,argolis
Anatoliki Makedonia kai Thraki,athine a
Anatoliki Makedonia kai Thraki,athine b
Anatoliki Makedonia kai Thraki,dept. of aetolia-akarnania
Anatoliki Makedonia kai Thraki,dept. of preveza and arta
Anatoliki Makedonia kai Thraki,etolia-akarnania
Anatoliki Makedonia kai Thraki,imathia
Anatoliki Makedonia kai Thraki,iraklion
Anatoliki Makedonia kai Thraki,kilkis
Anatoliki Makedonia kai Thraki,province of thira
Attiki,arta
Attiki,attiki
Attiki,department of kilkis
Attiki,dept of imathia
Attiki,dept of trikala
Attiki,dept. of akhaia
Attiki,dept. of attica (rest)
Attiki,dept. of ilia
Attiki,dept. of imathia
Attiki,dept. of kastoria
Attiki,dept. of trikala
Attiki,dept. of xanthi
Attiki,khalkidiki
Attiki,province of khalkis
Attiki,province of mantinia
Attiki,province of trifilia
Attiki,province of trikala
Attiki,province of trizinia
Attiki,provinces of aiyina and hyra
Attiki,rest of dept. of attica-beotia
Attiki,rest of the province of attica
Attiki,xanthi
Ayion Oros,court of canea
Ayion Oros,court of chios
Ayion Oros,court of instance of drama
Ayion Oros,court of instance of florina
Ayion Oros,court of instance of grevena
Ayion Oros,court of lesvos
Ayion Oros,court of rodhopi
Ayion Oros,court of serres
Ayion Oros,dept. of argolis
Ayion Oros,dept. of corfu
Ayion Oros,dept. of iraklion
Ayion Oros,province of aiyinia
Ayion Oros,province of almyros
Ayion Oros,province of andros
Ayion Oros,province of argos
Ayion Oros,province of arta
Ayion Oros,province of arta and tzoumerka
Ayion Oros,province of cythera
Ayion Oros,province of domokos
Ayion Oros,province of doris
Ayion Oros,province of elason
Ayion Oros,province of elasson
Ayion Oros,province of farsala
Ayion Oros,province of ghythion
Ayion Oros,province of gythion
Ayion Oros,province of ithaki
Ayion Oros,province of kalamata
Ayion Oros,province of kalambaka
Ayion Oros,province of kalavryta
Ayion Oros,province of kea
Ayion Oros,province of kythera
Ayion Oros,province of lacedemon
Ayion Oros,province of levkas
Ayion Oros,province of mesolongion
Ayion Oros,province of milos
Ayion Oros,province of nauplion
Ayion Oros,province of naxos
Ayion Oros,province of otylon
Ayion Oros,province of paros
Ayion Oros,province of patras
Ayion Oros,province of sami
Ayion Oros,province of syros
Ayion Oros,province of valtos
Ayion Oros,province of volos
Dytiki Ellada,dept. of cyclades
Dytiki Ellada,dept. of levkas
Dytiki Ellada,dept. of pella
Dytiki Ellada,drama
Dytiki Ellada,kiklades
Dytiki Ellada,larisa
Dytiki Ellada,pella
Dytiki Ellada,trikala
Dytiki Makedonia,akhea
Dytiki Makedonia,arkadia
Dytiki Makedonia,dept . of zante
Dytiki Makedonia,dept. of arkadia
Dytiki Makedonia,dept. of beotia
Dytiki Makedonia,dept. of canea
Dytiki Makedonia,dept. of drama
Dytiki Makedonia,dept. of euboea
Dytiki Makedonia,dept. of florina
Dytiki Makedonia,dept. of gevena
Dytiki Makedonia,dept. of kanea
Dytiki Makedonia,dept. of kozani
Dytiki Makedonia,dept. of lakonia
Dytiki Makedonia,dept. of magnisia
Dytiki Makedonia,dept. of pieria
Dytiki Makedonia,dept. of rethymni
Dytiki Makedonia,dept. of rodhopi
Dytiki Makedonia,dept. of yanina
Dytiki Makedonia,dept. of zante
Dytiki Makedonia,kerkira
Dytiki Makedonia,kozani
Dytiki Makedonia,lakonia
Ionioi Nisoi,ioannina
Ionioi Nisoi,magnisia
Ionioi Nisoi,province of hermionis
Ionioi Nisoi,province of ilia
Ionioi Nisoi,province of kynouria
Ionioi Nisoi,province of messini
Ionioi Nisoi,province of milo
Ionioi Nisoi,province of spetzai and hermionid
Ionioi Nisoi,province of trichonis
Ionioi Nisoi,province of vonitsa
Ionioi Nisoi,rodopi
Ipeiros,court of evros
Ipeiros,court of instance of evros
Ipeiros,dept. of evros
Ipeiros,evros
Ipeiros,ex-municipality of piraeus
Ipeiros,lesvos
Ipeiros,municipality of piraeus
Ipeiros,pieria
Ipeiros,pireaus city
Ipeiros,pireevs a
Ipeiros,pireevs b
Ipeiros,province of corfu
Ipeiros,province of corfu and paxi
Ipeiros,province of epidavros limira
Ipeiros,province of epidavros-limira
Ipeiros,province of olympia
Ipeiros,province of pali
Ipeiros,province of parnasis
Ipeiros,province of paxi
Ipeiros,province of pyrgos
Ipeiros,province of skopelos
Ipeiros,province of tinos
Ipeiros,province of tirnavos
Ipeiros,province of zante
Ipeiros,provinces of vonitsa and xiromero
