name,ideology
cu + prog,conservative
dimokratiki enosis,liberal democrat
ellenikos synagermos,conservative
eniaia dimokratiki aristera,communist
enosi kentrou,social democrat
ethniki politiki enosis,conservative
ethniki proodeftiki enosis kentrou,liberal democrat
ethniki rizospastiki enosis,conservative
geniki laiki rizospastiki enosi,conservative
inomeni parataksis ethnikofronon,conservative
komma fileleftheron,liberal democrat
komma ton eleftherofronon,liberal democrat
laikon komma,social democrat
nea demokratia,christian democrat
new democracy,christian democrat
pan-hellenic socialist movement,social democrat
panellenio sosialistiko kinima (pasok),social democrat
