ADM1,Constituency
Alta Verapaz,Alta Verapaz
Baja Verapaz,Baja Verapaz
Chimaltenango,Chimaltenango
Chiquimula,Chiquimula
El Progreso,El Progreso
Escuintla,Escuintla
Guatemala,Guatemala
Huehuetenango,Huehuetenango
Izabal,Izabal
Jalapa,Jalapa
Jutiapa,Jutiapa
Petén,Distrito Central
Petén,Peten
Quezaltenango,Quetzaltenango
Quiché,Quiche
Quiché,Quiché
Quiché,Quiché (con Ixban)
Retalhuleu,Retalhuleu
Sacatepéquez,Sacatepequez
San Marcos,San Marcos
Santa Rosa,Santa Rosa
Sololá,Solola
Suchitepéquez,Suchitepequez
Totonicapán,Totonicapan
Zacapa,Zacapa
