name,ideology
National Unity of Hope,social democrat
PID-FIR-FRG,conservative
National Advancement Party,conservative
Grand National Alliance,conservative
National Renovator Party,social democrat
PID-FUN-FRG,conservative
PNR-DCG,christian democrat
Guatemalan Christian Democracy,christian democrat
Democratic Freedom Revival,conservative
National Center Union,conservative
Populist Party,far right
PP-MR,conservative
PSD-AP5,social democrat
PP-MR-PSN,conservative
UNE-GANA,liberal democrat
Democratic Institutional Party,conservative
Guatemalan Republican Front,conservative
