ADM1,Constituency
Barima-Waini,barima/waini
Barima-Waini,bartica & int
Cuyuni-Mazaruni,abary
Cuyuni-Mazaruni,cuyuni/mazaruni
Cuyuni-Mazaruni,rupununi
Demerara-Mahaica,central demerara coast
Demerara-Mahaica,demerara/mahaica
Demerara-Mahaica,east central demerara
Demerara-Mahaica,mahaica/mahaicony
Demerara-Mahaica,mahaicony
East Berbice-Corentyne,central georgetown
East Berbice-Corentyne,corentyne central
East Berbice-Corentyne,corentyne coast
East Berbice-Corentyne,corentyne east
East Berbice-Corentyne,corentyne river
East Berbice-Corentyne,corentyne west
East Berbice-Corentyne,east berbice
East Berbice-Corentyne,east berbice/corentyne
East Berbice-Corentyne,geogretown north
East Berbice-Corentyne,geogretown north / east
East Berbice-Corentyne,georgetown north
East Berbice-Corentyne,georgetown south
East Berbice-Corentyne,la penitence- lodge
East Berbice-Corentyne,north georgetown
East Berbice-Corentyne,south george town
East Berbice-Corentyne,vreed-en-hoop
Essequibo Islands-West Demerara,central demerara
Essequibo Islands-West Demerara,e.bank demerara
Essequibo Islands-West Demerara,east demerara coast
Essequibo Islands-West Demerara,eastern demerara
Essequibo Islands-West Demerara,essequibo is.
Essequibo Islands-West Demerara,essequibo islands
Essequibo Islands-West Demerara,essequibo islands/west demerar
Essequibo Islands-West Demerara,lower demerara river
Essequibo Islands-West Demerara,n. amsterdam
Essequibo Islands-West Demerara,north west
Essequibo Islands-West Demerara,north west dem
Essequibo Islands-West Demerara,north west district
Essequibo Islands-West Demerara,w. central  demerara
Essequibo Islands-West Demerara,w.bank  demerara
Essequibo Islands-West Demerara,west demerara coast
Mahaica-Berbice,campbellville
Mahaica-Berbice,e. berbice
Mahaica-Berbice,mahaica
Mahaica-Berbice,mahaica/berbice
Mahaica-Berbice,w. berbice
Pomeroon-Supenaam,georgetown central
Pomeroon-Supenaam,georgetown south / central
Pomeroon-Supenaam,pomeroon
Pomeroon-Supenaam,pomeroon/supenaam
Potaro-Siparuni,boesrasirie
Potaro-Siparuni,huston
Potaro-Siparuni,mazaruni-potaro
Potaro-Siparuni,potaro/siparuni
Upper Demerara-Berbice,berbice river
Upper Demerara-Berbice,canals polder
Upper Demerara-Berbice,demerara river
Upper Demerara-Berbice,new amsterdam
Upper Demerara-Berbice,ruimveldt
Upper Demerara-Berbice,upper demerara
Upper Demerara-Berbice,upper demerara river
Upper Demerara-Berbice,upper demerara/berbice
Upper Demerara-Berbice,west berbice
Upper Takutu-Upper Essequibo,demerara essequibo
Upper Takutu-Upper Essequibo,essequibo river
Upper Takutu-Upper Essequibo,kitty
Upper Takutu-Upper Essequibo,leonora
Upper Takutu-Upper Essequibo,suddie
Upper Takutu-Upper Essequibo,upper takutu/upper essequibo
Upper Takutu-Upper Essequibo,w. essequibo
Upper Takutu-Upper Essequibo,werk-en-rust
