ADM1,Constituency
Grad Zagreb,"austrian, bulgarian, german, polonian, romanian, rumanian, r"
Istarska,italian minority constituency
Karlovacka,czech and slovakian minorities constituency
Krapinsko-Zagorska,hungarian minority constituency
Licko-Senjska,constituency i
Licko-Senjska,constituency ii
Licko-Senjska,constituency iii
Licko-Senjska,constituency iv
Licko-Senjska,constituency ix
Licko-Senjska,constituency v
Licko-Senjska,constituency vi
Licko-Senjska,constituency vii
Licko-Senjska,constituency x
Primorsko-Goranska,serbian minority constituency
Varaždinska,"albanian, bosnian, cransgagorian, makedonian and slovenian m"
Varaždinska,constituency xi (croatians abroad)
Viroviticko-Podravska,constituency viii
