ADM1,Constituency
Baranya,baja
Baranya,baranya
Baranya,baranya-1
Baranya,baranya-2
Baranya,baranya-3
Baranya,baranya-4
Baranya,baranya-5
Baranya,baranya-6
Baranya,baranya-7
Baranya,bonyhád
Baranya,karcag
Baranya,kazincbarcika
Borsod-Abaúj-Zemplén,borsod-abauj-zemplen
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-1
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-10
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-11
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-12
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-13
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-2
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-3
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-4
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-5
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-6
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-7
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-8
Borsod-Abaúj-Zemplén,borsod-abaÚj-zemplÉn-9
Borsod-Abaúj-Zemplén,dabas
Borsod-Abaúj-Zemplén,edelény
Budapest,budapest
Budapest,budapest 1
Budapest,budapest 10
Budapest,budapest 11
Budapest,budapest 12
Budapest,budapest 13
Budapest,budapest 14
Budapest,budapest 15
Budapest,budapest 16
Budapest,budapest 17
Budapest,budapest 18
Budapest,budapest 19
Budapest,budapest 2
Budapest,budapest 20
Budapest,budapest 21
Budapest,budapest 22
Budapest,budapest 23
Budapest,budapest 24
Budapest,budapest 25
Budapest,budapest 26
Budapest,budapest 27
Budapest,budapest 28
Budapest,budapest 29
Budapest,budapest 3
Budapest,budapest 30
Budapest,budapest 31
Budapest,budapest 32
Budapest,budapest 4
Budapest,budapest 5
Budapest,budapest 6
Budapest,budapest 7
Budapest,budapest 8
Budapest,budapest 9
Budapest,budapest-1
Budapest,budapest-10
Budapest,budapest-11
Budapest,budapest-12
Budapest,budapest-13
Budapest,budapest-14
Budapest,budapest-15
Budapest,budapest-16
Budapest,budapest-17
Budapest,budapest-18
Budapest,budapest-19
Budapest,budapest-2
Budapest,budapest-20
Budapest,budapest-21
Budapest,budapest-22
Budapest,budapest-23
Budapest,budapest-24
Budapest,budapest-25
Budapest,budapest-26
Budapest,budapest-27
Budapest,budapest-28
Budapest,budapest-29
Budapest,budapest-3
Budapest,budapest-30
Budapest,budapest-31
Budapest,budapest-32
Budapest,budapest-4
Budapest,budapest-5
Budapest,budapest-6
Budapest,budapest-7
Budapest,budapest-8
Budapest,budapest-9
Budapest,budaörs
Bács-Kiskun,bacs-kiskun
Bács-Kiskun,bicske
Bács-Kiskun,bÁcs-kiskun
Bács-Kiskun,bÁcs-kiskun-1
Bács-Kiskun,bÁcs-kiskun-10
Bács-Kiskun,bÁcs-kiskun-2
Bács-Kiskun,bÁcs-kiskun-3
Bács-Kiskun,bÁcs-kiskun-4
Bács-Kiskun,bÁcs-kiskun-5
Bács-Kiskun,bÁcs-kiskun-6
Bács-Kiskun,bÁcs-kiskun-7
Bács-Kiskun,bÁcs-kiskun-8
Bács-Kiskun,bÁcs-kiskun-9
Békés,baktalórántháza
Békés,bekes
Békés,bÉkÉs
Békés,bÉkÉs-1
Békés,bÉkÉs-2
Békés,bÉkÉs-3
Békés,bÉkÉs-4
Békés,bÉkÉs-5
Békés,bÉkÉs-6
Békés,bÉkÉs-7
Békés,bácsalmás
Békés,békés
Békés,dunakeszi
Békés,hajdúböszörmény
Békés,hajdúszoboszló
Békés,kisbér
Békés,kunszentmiklós
Békés,siklós
Békés,szigetszentmiklós
Békés,tiszakécske
Békéscsaba,békéscsaba
Csongrád,csongrad
Csongrád,csongrÁd
Csongrád,csongrÁd-1
Csongrád,csongrÁd-2
Csongrád,csongrÁd-3
Csongrád,csongrÁd-4
Csongrád,csongrÁd-5
Csongrád,csongrÁd-6
Csongrád,csongrÁd-7
Csongrád,csongrád
Debrecen,debrecen 1
Debrecen,debrecen 2
Debrecen,debrecen 3
Dunaújváros,dunaújváros
Dunaújváros,tiszaújváros
Eger,eger
Eger,kunhegyes
Fejér,fehérgyarmat
Fejér,fejer
Fejér,fejÉr
Fejér,fejÉr-1
Fejér,fejÉr-2
Fejér,fejÉr-3
Fejér,fejÉr-4
Fejér,fejÉr-5
Fejér,fejÉr-6
