ADM1,Constituency
Aceh,aceh
Aceh,aceh i
Aceh,aceh ii
Bali,bali
Bangka-Belitung,bangka belitung
Banten,banten i
Banten,banten ii
Bengkulu,bengkulu
Gorontalo,gorontalo
Irian Jaya Barat,irian jaya barat (irian jaya west)
Irian Jaya Barat,irianjaya
Jakarta Raya,jakarta
Jakarta Raya,jakarta i
Jakarta Raya,jakarta ii
Jambi,jambi
Jawa Barat,jawa barat i (java west i)
Jawa Barat,jawa barat ii (java west ii)
Jawa Barat,jawa barat iii (java west iii)
Jawa Barat,jawa barat iv (java west iv)
Jawa Barat,jawa barat ix (java west ix)
Jawa Barat,jawa barat v (java west v)
Jawa Barat,jawa barat vi (java west vi)
Jawa Barat,jawa barat vii (java west vii)
Jawa Barat,jawa barat viii (java west viii)
Jawa Barat,jawa barat x (java west x)
Jawa Barat,jawabarat
Jawa Tengah,jawa tengah
Jawa Tengah,jawa tengah i (java central i)
Jawa Tengah,jawa tengah ii (java central ii)
Jawa Tengah,jawa tengah iii (java central iii)
Jawa Tengah,jawa tengah iv (java central iv)
Jawa Tengah,jawa tengah ix (java central ix)
Jawa Tengah,jawa tengah v (java central v)
Jawa Tengah,jawa tengah vi (java central vi)
Jawa Tengah,jawa tengah vii (java central vii)
Jawa Tengah,jawa tengah viii (java central viii)
Jawa Tengah,jawa tengah x (java central x)
Jawa Timur,jawa timur i (java east i)
Jawa Timur,jawa timur ii (java east ii)
Jawa Timur,jawa timur iii (java east iii)
Jawa Timur,jawa timur iv (java east iv)
Jawa Timur,jawa timur ix (java east ix)
Jawa Timur,jawa timur v (java east v)
Jawa Timur,jawa timur vi (java east vi)
Jawa Timur,jawa timur vii (java east vii)
Jawa Timur,jawa timur viii (java east viii)
Jawa Timur,jawa timur x (java east x)
Jawa Timur,jawatimur
Kalimantan Barat,kalimantan barat (borneo west)
Kalimantan Barat,kalimantanbarat
Kalimantan Selatan,kalimantan selatan (borneo south)
Kalimantan Selatan,kalimantanselantan
Kalimantan Tengah,kalimantan tengah (borneo central)
Kalimantan Tengah,kalimantantengah
Kalimantan Timur,kalimantan timur (borneo east)
Kalimantan Timur,kalimantantimur
Kalimantan Timur,timortimur
Kepulauan Riau,kepulauan riau
Lampung,lampung
Lampung,lampung i
Lampung,lampung ii
Maluku,maluku
Maluku,maluku (moluccas)
Maluku Utara,maluku utara (moluccas north)
Nusa Tenggara Barat,nusa tenggara barat (south-east islands west)
Nusa Tenggara Barat,nusatenggarabarat
Nusa Tenggara Timur,nusa tenggara timur i ((south-east islands east
Nusa Tenggara Timur,nusa tenggara timur ii (south-east islands east
Nusa Tenggara Timur,nusatenggaratimur
Papua,papua
Riau,riau
Sulawesi Selatan,sulawesi selantan
Sulawesi Selatan,sulawesi selatan i (celebes south i)
Sulawesi Selatan,sulawesi selatan ii (celebes south ii)
Sulawesi Tengah,sulawesi tengah
Sulawesi Tengah,sulawesi tengah (celebes central)
Sulawesi Tenggara,sulawesi tenggara
Sulawesi Tenggara,sulawesi tenggara (celebes south-east)
Sulawesi Utara,sulawesi utara
Sulawesi Utara,sulawesi utara (celebes north)
Sumatera Barat,north sumatra
Sumatera Barat,sumatera barat i (sumatra west i)
Sumatera Barat,sumatera barat ii (sumatra west ii)
Sumatera Selatan,south sumatra
Sumatera Selatan,sumatera selatan i (sumatra south i)
Sumatera Selatan,sumatera selatan ii (sumatra south ii)
Sumatera Utara,sumatera utara i (sumatra north i)
Sumatera Utara,sumatera utara ii (sumatra north ii)
Sumatera Utara,sumatera utara iii (sumatra north iii)
Sumatera Utara,west sumatra
Yogyakarta,yogyakarta
