ADM1,Constituency
Cavan,cavan
Clare,clare
Cork,cork borough
Cork,cork city
Cork,cork city north west
Cork,cork city south east
Cork,cork east
Cork,cork east and north-east
Cork,cork mid
Cork,cork north
Cork,cork north central
Cork,cork north west
Cork,cork north-central
Cork,cork north-east
Cork,cork north-west
Cork,cork south
Cork,cork south central
Cork,cork south west
Cork,cork south-central
Cork,cork south-east
Cork,cork south-west
Cork,cork west
Cork,mid cork
Cork,mid-cork
Cork,north east cork
Cork,north-east cork
Cork,south west cork
Cork,south-west cork
Donegal,donegal
Donegal,donegal east
Donegal,donegal north east
Donegal,donegal north-east
Donegal,donegal south west
Donegal,donegal south-west
Donegal,donegal west
Donegal,donegal-leitrim
Donegal,north east donegal
Dublin,dublin (artane)
Dublin,dublin (ballyfermont)
Dublin,dublin (cabra)
Dublin,dublin (clontarf)
Dublin,dublin (finglas)
Dublin,dublin (rathmines west)
Dublin,dublin central
Dublin,dublin county
Dublin,dublin mid
Dublin,dublin mid west
Dublin,dublin north
Dublin,dublin north central
Dublin,dublin north east
Dublin,dublin north west
Dublin,dublin north-central
Dublin,dublin north-east
Dublin,dublin north-west
Dublin,dublin south central
Dublin,dublin south-central
Dublin,dublin townships
Dublin,dublin university
Dublin,dublin west
Dublin,mid county dublin
Dublin,north county dublin
Dublin,south county dublin
Dublin,west county dublin
Dublin,national university
Dún Laoghaire–Rathdown,dun laoghaire
Dún Laoghaire–Rathdown,dun laoghaire and rathdown
Dún Laoghaire–Rathdown,dun loaghaire
Dún Laoghaire–Rathdown,dun loaghaire and rathdown
Fingal,dublin north-west
Fingal,dublin north west
Galway,clare-south galway
Galway,east galway
Galway,galway
Galway,galway east
Galway,galway north
Galway,galway south
Galway,galway west
Galway,north east galway
Galway,west galway
Kerry,kerry
Kerry,kerry north
Kerry,kerry south
Kerry,north kerry
Kerry,south kerry
Kildare,carlow-kildare
Kildare,kildare
Kildare,kildare north
Kildare,kildare south
Kilkenny,carlow kilkenny
Kilkenny,carlow-kilkenny
Kilkenny,kilkenny
Leitrim,leitrim
Limerick,east limerick
Limerick,kerry north limerick west
Limerick,kerry-limerick west
Kerry,kerry north limerick west
Kerry,kerry-limerick west
Limerick,limerick
Limerick,limerick city
Limerick,limerick city-limerick east
Limerick,limerick east
Limerick,limerick west
Limerick,west limerick
Longford,atholone-longford
Louth,louth
Louth,louth-meath
Mayo,east mayo
Mayo,mayo
Mayo,mayo east
Mayo,mayo north
Mayo,mayo north and west
Mayo,mayo south
Mayo,mayo south-roscommon south
Mayo,mayo west
Mayo,sligo-mayo east
Mayo,west mayo
Meath,longford westmeath
Meath,longford-westmeath
Meath,meath
Meath,meath east
Meath,meath west
Meath,meath-westmeath
Monaghan,cavan monaghan
Monaghan,cavan-monaghan
Monaghan,monaghan
North Tipperary,north tipperary
North Tipperary,tipperary north
Offaly,laoghis-offaly
Offaly,laoighis offaly
Offaly,laoighis-offaly
Offaly,leix-offaly
Offaly,loaghis-offaly
Roscommon,leitrim-roscommon north
Roscommon,longford roscommon
Roscommon,longford-roscommon
Roscommon,roscommon
Roscommon,roscommon leitrim south
Roscommon,roscommon-leitrim
Sligo,leitrim-sligo
Sligo,sligo
Sligo,sligo leitrim
Sligo,sligo leitrim north
Sligo,sligo-leitrim
South Dublin,dublin south
South Dublin,dublin south east
South Dublin,dublin south west
South Dublin,dublin south-east
South Dublin,dublin south-west
Cork,"cork mid, north, south, south-eas"
South Tipperary,south tipperary
South Tipperary,tipperary
North Tipperary,tipperary
South Tipperary,"tipperary mid, north and south"
North Tipperary,"tipperary mid, north and south"
South Tipperary,tipperary south
Waterford,waterford
Waterford,waterford-tipperary east
Westmeath,westmeath
Wexford,wexford
Wicklow,kildare-wicklow
Wicklow,wicklow
