ADM1,Constituency
Austurland,austur-húnavatnssýsla
Austurland,austur-skaptafellssýsla
Austurland,austurlandskjördaemi
Austurland,baròastrandarsýsla
Austurland,dalasýsla
Austurland,húnavatnssýla
Austurland,mýrasýsla
Austurland,skaptafellssýsla
Austurland,strandasýsla
Höfuðborgarsvæði,borgarfjaòarsýsla
Norðurland eystra,akureyri
Norðurland eystra,hafnarfjöròur
Norðurland eystra,noròur- pingeyjarsýsla
Norðurland eystra,noròurlandskjördaemi eystra
Norðurland eystra,skagafjaròarsýsla
Norðurland vestra,noròur-múlasýsla
Norðurland vestra,noròur-Ísafjaròarsýsla
Norðurland vestra,noròurlandskjördaemi vestra
Norðurland vestra,rangárvallasýsla
Reykjavík,eyjafjaròarsýsla
Reykjavík,reykjaneskjördaemi
Reykjavík,reykjavík
Reykjavík,thingeyjarsýsla
Suðurland,gullbringu- og kjósarýsla
Suðurland,suòur-múlasýsla
Suðurland,suòurlandskjördaemi
Suðurland,syglufiördu
Suðurland,Ísafjardasýsla
Suðurnes,snaefellsnessýsla
Suðurnes,suòur-pingeyjarsýsla
Suðurnes,Árnessýsla
Vestfirðir,seyòisfjöròur
Vestfirðir,vestfjaròakjördaemi
Vestfirðir,Ísafjöròur
Vesturland,iceland
Vesturland,vestmannaeyjasýsla
Vesturland,vestur-húnavatnssýsla
Vesturland,vestur-skaptafellssýsla
Vesturland,vestur-Ísafjaròarsýsla
Vesturland,vesturlandskjördaemi
