name,ideology
alleanza nazionale,conservative
associazione per trieste,regionalist
blocco dei partiti tedeschi-deutscher verband,regionalist
concentrazione slava,regionalist
democrazia cristiana,christian democrat
forza italia,conservative
fronte democratico popolare,social democrat
l'ulivo,social democrat
lega nord,regionalist
liberali,liberal democrat
"lista valle d'aosta",regionalist
others,other
partito comunista italiano,communist
partito democratico della sinistra,conservative
partito nazionale fascista,far right
partito popolare italiano,conservative
partito radicale,liberal democrat
partito socialista ufficiale,social democrat
"patto per l'italia (ppi,patto segni)",christian democrat
polo del buon governo,conservative
polo delle libertà,liberal democrat
polo per le libertà,liberal democrat
progressisti,social democrat
südtiroler volkspartei,regionalist
union valdotaine,regionalist
