ADM1,Constituency
Clarendon,clarendon central
Clarendon,clarendon north central
Clarendon,clarendon north eastern
Clarendon,clarendon north western
Clarendon,clarendon northern
Clarendon,clarendon south central
Clarendon,clarendon south eastern
Clarendon,clarendon south western
Clarendon,clarendon southern
Hanover,hanover eastern
Hanover,hanover western
Kingston,kingston central
Kingston,kingston east & port royal
Kingston,kingston east and port royal
Kingston,kingston east central
Kingston,kingston eastern
Kingston,kingston eastern & port royal
Kingston,kingston west central
Kingston,kingston western
Manchester,manchester central
Manchester,manchester eastern
Manchester,manchester north eastern
Manchester,manchester north western
Manchester,manchester northern
Manchester,manchester southern
Manchester,manchester western
Manchester,manchestern eastern
Manchester,manchestern northern
Manchester,manchestern western
Portland,portland eastern
Portland,portland western
Saint Andrew,st andrew east central
Saint Andrew,st andrew east rural
Saint Andrew,st andrew eastern
Saint Andrew,st andrew north central
Saint Andrew,st andrew north western
Saint Andrew,st andrew south eastern
Saint Andrew,st andrew south western
Saint Andrew,st andrew southern
Saint Andrew,st andrew west central
Saint Andrew,st andrew west rural
Saint Andrew,st andrew western
Saint Andrew,st. andrew central
Saint Andrew,st. andrew e urban & suburban
Saint Andrew,st. andrew east central
Saint Andrew,st. andrew east rural
Saint Andrew,st. andrew east urban and suburban
Saint Andrew,st. andrew eastern
Saint Andrew,st. andrew north central
Saint Andrew,st. andrew north eastern
Saint Andrew,st. andrew north western
Saint Andrew,st. andrew northern
Saint Andrew,st. andrew south eastern
Saint Andrew,st. andrew south western
Saint Andrew,st. andrew southern
Saint Andrew,st. andrew west central
Saint Andrew,st. andrew west rural
Saint Andrew,st. andrew western
Saint Ann,st ann north eastern
Saint Ann,st ann north western
Saint Ann,st ann south eastern
Saint Ann,st ann south western
Saint Ann,st. ann eastern
Saint Ann,st. ann north eastern
Saint Ann,st. ann north western
Saint Ann,st. ann south eastern
Saint Ann,st. ann south western
Saint Ann,st. ann western
Saint Catherine,st catherine east central
Saint Catherine,st catherine north eastern
Saint Catherine,st catherine north western
Saint Catherine,st catherine south central
Saint Catherine,st catherine south eastern
Saint Catherine,st catherine south western
Saint Catherine,st catherine west central
Saint Catherine,st. catherine central
Saint Catherine,st. catherine east central
Saint Catherine,st. catherine eastern
Saint Catherine,st. catherine north eastern
Saint Catherine,st. catherine north western
Saint Catherine,st. catherine northern
Saint Catherine,st. catherine south central
Saint Catherine,st. catherine south eastern
Saint Catherine,st. catherine south western
Saint Catherine,st. catherine southern
Saint Catherine,st. catherine west central
Saint Catherine,st. catherine western
Saint Elizabeth,st elizabeth north eastern
Saint Elizabeth,st elizabeth north western
Saint Elizabeth,st elizabeth south eastern
Saint Elizabeth,st elizabeth south western
Saint Elizabeth,st. elizabeth north east
Saint Elizabeth,st. elizabeth north eastern
Saint Elizabeth,st. elizabeth north west
Saint Elizabeth,st. elizabeth north western
Saint Elizabeth,st. elizabeth northern
Saint Elizabeth,st. elizabeth south east
Saint Elizabeth,st. elizabeth south eastern
Saint Elizabeth,st. elizabeth south west
Saint Elizabeth,st. elizabeth south western
Saint Elizabeth,st. elizabeth southern
Saint James,st james east central
Saint James,st james north western
Saint James,st james southern
Saint James,st james west central
Saint James,st. james central
Saint James,st. james east central
Saint James,st. james north western
Saint James,st. james south eastern
Saint James,st. james southern
Saint James,st. james west central
Saint Mary,st mary east central
Saint Mary,st mary south eastern
Saint Mary,st mary west central
Saint Mary,st mary western
Saint Mary,st. mary central
Saint Mary,st. mary eastern
Saint Mary,st. mary northern
Saint Mary,st. mary south eastern
Saint Mary,st. mary western
Saint Thomas,st thomas eastern
Saint Thomas,st thomas western
Saint Thomas,st. thomas central
Saint Thomas,st. thomas eastern
Saint Thomas,st. thomas western
Trelawny,trelawny northern
Trelawny,trelawny southern
Westmoreland,westmoreland central
Westmoreland,westmoreland eastern
Westmoreland,westmoreland north east
Westmoreland,westmoreland north eastern
Westmoreland,westmoreland south east
Westmoreland,westmoreland south eastern
Westmoreland,westmoreland southern
Westmoreland,westmoreland western
